CONTENT,CLASS,content_lower,content_lower_rn
"This song is great there are 2,127,315,950 views wow﻿",0,"this song is great there are 2,127,315,950 views wow﻿",this song is great there are numeric numeric numeric numeric views wow
I'm watching this in 2014﻿,0,i'm watching this in 2014﻿,i m watching this in numeric
Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,0,most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,most viewed video on youtube daannng those views can almost dominate the entire china
"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",how does this video have numeric numeric numeric numeric views if there are only numeric million people on earth
What my gangnam style﻿,0,what my gangnam style﻿,what my gangnam style
Lol this youtuber (officialpsy) is getting so much money lol﻿,0,lol this youtuber (officialpsy) is getting so much money lol﻿,lol this youtuber officialpsy is getting so much money lol
1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,0,1 million dislikes!epic fail(ready for you fanboys)﻿,numeric million dislikes epic fail ready for you fanboys
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0,"if i knew korean, this would be even funnier. at least a bit at the end was  in english, but was spoken quite rapidly.﻿",if i knew korean this would be even funnier at least a bit at the end was in english but was spoken quite rapidly
"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",0,"enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. you're joking. it's not funny anymore.﻿",enough with the whole how does this have two billion views if there s only numeric million on the planet we get it you re joking it s not funny anymore
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",1,"if i get 100 subscribers, i will summon freddy mercury's ghost to whipe  from the face of earth one direction and miley cirus.﻿",if i get numeric subscribers i will summon freddy mercury s ghost to whipe from the face of earth one direction and miley cirus
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,1,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,if i reach numeric subscribers i will go round in public pouring a bucket of ice water over people and then running away acting like it wasn t me like so people can see
YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,0,youtube money !!!!!!!!!!!!!!!!!!!!!!!﻿,youtube money
2 billion for this shit?﻿,0,2 billion for this shit?﻿,numeric billion for this shit
"2 billion views, only 2 million shares﻿",0,"2 billion views, only 2 million shares﻿",numeric billion views only numeric million shares
Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,1,hi guys my name is dylan and i do irl football videos i have 1030  subscribers and i think you guys would like my content so come check it out  and if you do subscribe!﻿,hi guys my name is dylan and i do irl football videos i have numeric subscribers and i think you guys would like my content so come check it out and if you do subscribe
If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,1,if i get 300 subscribers by tomorrow i'll do a epic hunger games video! ﻿,if i get numeric subscribers by tomorrow i ll do a epic hunger games video
follower please https://www.facebook.com/lists/161620527267482﻿,1,follower please https://www.facebook.com/lists/161620527267482﻿,follower please url
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,0,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,numeric billion views wow not even baby by justin beibs has that much he doesn t deserve a capitalized name
If i reach 100 subscribers i will tazz my self and my friend﻿,1,if i reach 100 subscribers i will tazz my self and my friend﻿,if i reach numeric subscribers i will tazz my self and my friend
Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,1,please help me go to college guys! thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,please help me go to college guys thanks from the bottom of my heart url
https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿,1,https://www.facebook.com/schoolgeniusnits/photos/ms.c.ejw9kvkoxdamqm808h5z~;4snjqp~_thqbeum69aqup1ih~_fphgk5zllsvdqv0zuf0mb~;lnuj~;ufth4yokfrxyts2zvrrp6qgtw67y~;l551h~;f7~_vlczzrg8vgctlpsd9ongewhj8~_gibu~;s3lzmvy~;iq2~;twsfzz9whn7jusvhufpglqrzczl05fnphagevb3x8ydmc6x~_~;jtcjnmho~;vfxwcjzyvwobihrngx2ocjng2pg1evhxzyjd~_o3h~_ry6f57sprnd2xv~;~_bzszz~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿,url CRYPTOADDRESS l551h f7 vlczzrg8vgctlpsd9ongewhj8 gibu s3lzmvy iq2 CRYPTOADDRESS jtcjnmho CRYPTOADDRESS o3h ry6f57sprnd2xv bzszz numeric bps a numeric numeric type numeric theater
I am so awesome and smart!!! Sucscribe to me!﻿,1,i am so awesome and smart!!! sucscribe to me!﻿,i am so awesome and smart sucscribe to me
Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,1,follow 4 follow                           @ vaahidmustafic like 4 like ﻿,follow numeric follow vaahidmustafic like numeric like
http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,1,http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,url psy news off cal
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1,https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,url add mee numeric numeric
im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1,im sorry for the spam but my name is jenny. i go to high school where  everyone dresses fashionable but for me i don't because i need money to buy  cute clothes. i have low self esteem . i live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. i have 2 brothers  who is older than me. since they are boys they get the attention while i  just be alone. i really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,im sorry for the spam but my name is jenny i go to high school where everyone dresses fashionable but for me i don t because i need money to buy cute clothes i have low self esteem i live with my dad my mom passed away when i was numeric so i don t really have a mother figure i have numeric brothers who is older than me since they are boys they get the attention while i just be alone i really want to wear pretty clothes like the girls in my school and get a boyfriend i just can t be my self im very quite and shy at school because i don t have the confidence in myself to talk to someone i did have one friend name caroline but she moved away so now im alone if you could donate some money to me it would be great i don t care about expensive brand ill just shop at walmart because they have pretty clothes also i wanna get my nails done at a salon i see alot of girls have these french tips i never had my nail did at a salon before i will really appreciate if i can and get my hair curled too url thanks omg please
 I hate this song! ﻿,0, i hate this song! ﻿,i hate this song
please throw a sub on my channel﻿,1,please throw a sub on my channel﻿,please throw a sub on my channel
"NEW GOAL!   3,000,000!  Let's go for it!﻿",0,"new goal!   3,000,000!  let's go for it!﻿",new goal numeric numeric numeric let s go for it
Go to my channel if u want to see a fly getting burned alive﻿,1,go to my channel if u want to see a fly getting burned alive﻿,go to my channel if u want to see a fly getting burned alive
just came here to check the views :P﻿,0,just came here to check the views :p﻿,just came here to check the views p
"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",1,"come and check out my new youtube chhanel, going to be posting daily!﻿",come and check out my new youtube chhanel going to be posting daily
I hav absolutely no idea what he's saying. Is it even a language?﻿,0,i hav absolutely no idea what he's saying. is it even a language?﻿,i hav absolutely no idea what he s saying is it even a language
Please check out my vidios guys﻿,1,please check out my vidios guys﻿,please check out my vidios guys
I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,0,i still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,i still to this day wonder why this video is so popular illuminati confirmed
Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs﻿,1,hey guys can you check my channel out plz. i do mine craft videos. let's  shoot for 20 subs﻿,hey guys can you check my channel out plz i do mine craft videos let s shoot for numeric subs
This is getting old.........﻿,0,this is getting old.........﻿,this is getting old
PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,1,please subscribe me!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,please subscribe me
just came to check the view count﻿,0,just came to check the view count﻿,just came to check the view count
Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1,check out my music videos! fuego - u la la remix  hyperurl.co/k6a5xt﻿,check out my music videos fuego u la la remix url
Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1,check out my music videos! and please subscribe!!!! fuego - u la la remix  hyperurl.co/k6a5xt﻿,check out my music videos and please subscribe fuego u la la remix url
www.marketglory.com/strategygame/lordviperas﻿,1,www.marketglory.com/strategygame/lordviperas﻿,url
"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0,"if the shitty chinese government didn't block youtube over there, there'd  be close to 3 billion views right now. ﻿",if the shitty chinese government didn t block youtube over there there d be close to numeric billion views right now
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,0,world record youtube video views !!!!!! xd﻿,world record youtube video views xd
I think he was drunk during this :) x)﻿,0,i think he was drunk during this :) x)﻿,i think he was drunk during this x
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,1,limit sun exposure while driving. eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,limit sun exposure while driving eliminate the hassle of having to swing the car visor between the windshield and window url
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",0,"hahah, juyk! i allways laugh at the part 1:57.. lol!﻿",hahah juyk i allways laugh at the part numeric numeric lol
http://hackfbaccountlive.com/?ref=5242575﻿,1,http://hackfbaccountlive.com/?ref=5242575﻿,url
"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",0,"i wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",i wanted to know the name of the guy that dances at numeric numeric anybody knows
https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,1,https://www.facebook.com/fudairyqueen?pnref=story﻿,url
"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿",0,"haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿",haha its so funny to see the salt of westerners that top views of youtube goes to video they dont even understand keep the salt up
FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,1,follow my company on twitter  thanks.  https://twitter.com/thewaxedhatco﻿,follow my company on twitter thanks url
imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,0,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,imagine if this guy put adsense on with all these views u could pay ur morgage
Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿,1,hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿,hey come check us out were new on youtube let us know what you think and don t forget to subscribe thanks
"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿",0,"the girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows d:﻿",the girl in the train who was dancing her outfit was so fucking sexy but the huge turn off was she lacked eyebrows d
"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",1,"look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",look at the pictures if not difficult url
"Don't mind me, I'm just checking what the views are up to : )﻿",0,"don't mind me, i'm just checking what the views are up to : )﻿",don t mind me i m just checking what the views are up to
"Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿",1,"hey guys can you check my youtube channel i know you hate comments like  this one but i promise if you check my videos it will be entertaining i do  shotgun montages,ninja defuse montages and trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿",hey guys can you check my youtube channel i know you hate comments like this one but i promise if you check my videos it will be entertaining i do shotgun montages ninja defuse montages and trolling please guys can you check them out and thanks have a good day
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",0,"to everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  he actually did buy views.﻿",to everyone joking about how he hacked to get numeric billion views because there s a certain amount of people or whatever he actually did buy views
https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿,1,https://www.facebook.com/tofikmiedzynb/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿,url
https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :D﻿,1,https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :d﻿,url please like frigea marius gabriel comment d
"http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿",1,"http://www.bing.com/explore/rewards?publ=referafriend&amp;crea=raw&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca bing rewards, earn free money. and no u cant get ur virus in blue!﻿",url bing rewards earn free money and no u cant get ur virus in blue
Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,1,please do buy these new christmas shirts! you can buy at any time before  december 4th and they are sold worldwide! don't miss out:  http://teespring.com/treechristmas﻿,please do buy these new christmas shirts you can buy at any time before december numeric and they are sold worldwide don t miss out url
Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1﻿,1,free my apps get 1m crdits ! just click on the link and download a app and  done!! · link: https://m.freemyapps.com/share/url/5af506e1﻿,free my apps get 1m crdits just click on the link and download a app and done link url
Why does a song like this have more views than Michael Jackson SMH﻿,0,why does a song like this have more views than michael jackson smh﻿,why does a song like this have more views than michael jackson smh
" Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",0," something to dance to, even if your sad just dance!!   psy - gangnam style (강남스타일) m/v: http://youtu.be/9bzkp7q19f0﻿",something to dance to even if your sad just dance psy gangnam style m v http url
everyones back lool this is almost 3 years old and people are still hear!  xD﻿,0,everyones back lool this is almost 3 years old and people are still hear!  xd﻿,everyones back lool this is almost numeric years old and people are still hear xd
How can this have 2 billion views when there's only me on the planet? LOL﻿,0,how can this have 2 billion views when there's only me on the planet? lol﻿,how can this have numeric billion views when there s only me on the planet lol
I don't now why I'm watching this in 2014﻿,0,i don't now why i'm watching this in 2014﻿,i don t now why i m watching this in numeric
subscribe to me for call of duty vids and give aways Goal-100 subs﻿,1,subscribe to me for call of duty vids and give aways goal-100 subs﻿,subscribe to me for call of duty vids and give aways goal numeric subs
hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,1,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,hi guys please my android photo editor download thanks url
"The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿",0,"the first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿",the first billion viewed this because they thought it was really cool the other billion and a half came to see how stupid the first billion were
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1,i love this so much. and also i generate free leads on auto pilot &amp; you can  too! http://www.myleadergate.com/moretraffic﻿,i love this so much and also i generate free leads on auto pilot you can too url
http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote for SONES please....we're against vips....please help us.. &gt;.&lt;﻿,1,http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 vote for sones please....we're against vips....please help us.. &gt;.&lt;﻿,url vote for sones please we re against vips please help us
"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",1,"hey guys! please join me in my fight to help abused/mistreated animals! all  fund will go to helping pay for vet bills/and or helping them find homes! i  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. donate please. http://www.gofundme.com/angels-n-wingz﻿",hey guys please join me in my fight to help abused mistreated animals all fund will go to helping pay for vet bills and or helping them find homes i will place an extra emphasis on helping disabled animals ones otherwise would just be put to sleep by other animal organizations donate please url
http://psnboss.com/?ref=2tGgp3pV6L this is the song﻿,1,http://psnboss.com/?ref=2tggp3pv6l this is the song﻿,url this is the song
Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB﻿,1,hey everyone. watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hqbuvb﻿,hey everyone watch this trailer url hlr h2hqbuvb
check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿,1,check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿,check out my rapping hope you guys like it url and follow and message me
"Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",1,"subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",subscribe pleaase to my instagram account i ll subscribe back heart suit url
hey guys!! visit my channel pleaase (i'm searching a dream)﻿,1,hey guys!! visit my channel pleaase (i'm searching a dream)﻿,hey guys visit my channel pleaase i m searching a dream
Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ﻿,1,nice! http://www.barnesandnoble.com/s/bdp?csrftoken=i9tixe8cnkcosoqkemgjlu5uwv6nsxso&amp;sort=dd&amp;size=90&amp;csrftoken=89iyec7nrwp5nytno5u7amhvmflutggl&amp;dref=5094&amp;keyword=bdp&amp;store=ebook ﻿,nice url CRYPTOADDRESS sort dd size numeric csrftoken CRYPTOADDRESS dref numeric keyword bdp store ebook
http://www.twitch.tv/daconnormc﻿,1,http://www.twitch.tv/daconnormc﻿,url
Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!﻿,1,hey guys this is glamour beauty! i just started my youtube channel please  go check it out! i'm going to post singing videos and also random videos  that i fell like! please go to subscribe! more to come soon!. remember to  subscribe!﻿,hey guys this is glamour beauty i just started my youtube channel please go check it out i m going to post singing videos and also random videos that i fell like please go to subscribe more to come soon remember to subscribe
Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿,1,hey guys! my mom said if i got 100 subs before christmas i'll get a kitten  and i always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) please no mean comments﻿,hey guys my mom said if i got numeric subs before christmas i ll get a kitten and i always have wanted an kitten so please watch my videos and if you like it subscribe or like please no mean comments
https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿,1,https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿,url
https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ﻿,1,https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ﻿,url
https://soundcloud.com/artady please check my stuff; and make some feedback﻿,1,https://soundcloud.com/artady please check my stuff; and make some feedback﻿,url please check my stuff and make some feedback
Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,1,take a break from katie and help me reach 100 subscribers this month!  new  music and free downloads! ﻿,take a break from katie and help me reach numeric subscribers this month new music and free downloads
Subscribe me please﻿,1,subscribe me please﻿,subscribe me please
Check out my covers I have a video coming out  please subscribe﻿,1,check out my covers i have a video coming out  please subscribe﻿,check out my covers i have a video coming out please subscribe
Subscribe to My CHANNEL﻿,1,subscribe to my channel﻿,subscribe to my channel
Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿,1,hey guys. i am a very small youtuber i upload videos nearly every single  day. i once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and i am pretty sure you wont regret visiting this channel. thank you!﻿,hey guys i am a very small youtuber i upload videos nearly every single day i once hope to be like shikas so can you please give numeric mins of your life to view this channel and my new video is on how to watch all the anime for free and i am pretty sure you wont regret visiting this channel thank you
http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342  Please join me to the voice Liked and shared it please to win more audition  score. Thanks so much﻿,1,http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditiondetail_?emissionid=3873&amp;id=342  please join me to the voice liked and shared it please to win more audition  score. thanks so much﻿,url please join me to the voice liked and shared it please to win more audition score thanks so much
katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,katy perry will u sit on my face please it would be really awesome and i ll give you numeric dollars ok if you want to do this then please call me and subscribe to my channel first ok thats good and then u sit on my face and ill get an erection then you sit more k
"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&amp;bvm=bv.73231344,d.bGQ&amp;cad=rja ﻿",1,"is in top 10 , in youtube top views , on 9 is miley cyrus: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0cb8qfjaa&amp;url=http%3a%2f%2fen.wikipedia.org%2fwiki%2flist_of_most_viewed_youtube_videos&amp;ei=oq3yu9dwc8l4yqoyo4goaw&amp;usg=afqjcngkm-idplal6kuvkoekvgdtt2jvlq&amp;sig2=onqzzad3q3cmnbe9nml4ga&amp;bvm=bv.73231344,d.bgq&amp;cad=rja ﻿",is in top numeric in youtube top views on numeric is miley cyrus url
http://www.amazon.com/Knight-Dawn-cursed-Daniel-N-ebook/dp/B00MPPQHRI/ref=sr_1_7?s=digital-text&amp;%3Bie=UTF8&amp;%3Bqid=1408122684&amp;%3Bsr=1-7&amp;%3Bkeywords=knight&amp;tag=wattpad-20     some people are very talented but some are more talented but there is no  sponsor﻿,1,http://www.amazon.com/knight-dawn-cursed-daniel-n-ebook/dp/b00mppqhri/ref=sr_1_7?s=digital-text&amp;%3bie=utf8&amp;%3bqid=1408122684&amp;%3bsr=1-7&amp;%3bkeywords=knight&amp;tag=wattpad-20     some people are very talented but some are more talented but there is no  sponsor﻿,url some people are very talented but some are more talented but there is no sponsor
I really love this video.. http://www.bubblews.com/account/389088-sheilcen﻿,1,i really love this video.. http://www.bubblews.com/account/389088-sheilcen﻿,i really love this video url
Hi Guys! check this awesome EDM &amp; House mix :) thanks a lot..  https://soundcloud.com/soundhase/edm-house-mix-2﻿,1,hi guys! check this awesome edm &amp; house mix :) thanks a lot..  https://soundcloud.com/soundhase/edm-house-mix-2﻿,hi guys check this awesome edm house mix thanks a lot url
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1,hiya😊 i just started youtube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,hiya smiling face with smiling eyes i just started youtube and it would mean a lot if some of you could subscribe and watch my first video xx
