CONTENT,CLASS,content_lower,content_lower_rn,remove_numbers,content_tokenized,normalized,content_stopwords,content_lemma
":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? &gt;&gt;JUST Open different Tabs from Different Browser &gt;&gt;Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and shareï»¿",1,":: attention : we need 10 million views more for firework to reach 500m .. we have only 1 and half day left for katy's birtgday. listen how it could be possible?? &gt;&gt;just open different tabs from different browser &gt;&gt;dont watch full video, remember we dont have time on hand, its time wasting. view it only for 30 sec. plz thumbs up and shareï»¿",attention we need million views more for firework to reach we have only and half day left for katys birtgday listen how it could be possible just open different tabs from different browser dont watch full video remember we dont have time on hand its time wasting view it only for sec plz thumbs up and share,attention we need million views more for firework to reach we have only and half day left for katys birtgday listen how it could be possible just open different tabs from different browser dont watch full video remember we dont have time on hand its time wasting view it only for sec plz thumbs up and share,"['attention', 'we', 'need', 'million', 'views', 'more', 'for', 'firework', 'to', 'reach', 'we', 'have', 'only', 'and', 'half', 'day', 'left', 'for', 'katys', 'birtgday', 'listen', 'how', 'it', 'could', 'be', 'possible', 'just', 'open', 'different', 'tabs', 'from', 'different', 'browser', 'dont', 'watch', 'full', 'video', 'remember', 'we', 'dont', 'have', 'time', 'on', 'hand', 'its', 'time', 'wasting', 'view', 'it', 'only', 'for', 'sec', 'plz', 'thumbs', 'up', 'and', 'share']","['attention', 'we', 'need', 'million', 'views', 'more', 'for', 'firework', 'to', 'reach', 'we', 'have', 'only', 'and', 'half', 'day', 'left', 'for', 'katys', 'birtgday', 'listen', 'how', 'it', 'could', 'be', 'possible', 'just', 'open', 'different', 'tabs', 'from', 'different', 'browser', 'dont', 'watch', 'full', 'video', 'remember', 'we', 'dont', 'have', 'time', 'on', 'hand', 'its', 'time', 'wasting', 'view', 'it', 'only', 'for', 'sec', 'please', 'thumbs', 'up', 'and', 'share']","['attention', 'need', 'million', 'views', 'firework', 'reach', 'half', 'day', 'left', 'katys', 'birtgday', 'listen', 'possible', 'open', 'different', 'tabs', 'different', 'browser', 'dont', 'watch', 'full', 'video', 'remember', 'dont', 'hand', 'wasting', 'view', 'sec', 'thumbs', 'share']","['attention', 'need', 'million', 'view', 'firework', 'reach', 'half', 'day', 'leave', 'katys', 'birtgday', 'listen', 'possible', 'open', 'different', 'tab', 'different', 'browser', 'dont', 'watch', 'full', 'video', 'remember', 'dont', 'hand', 'waste', 'view', 'sec', 'thumb', 'share']"
(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroidï»¿,1,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroidï»¿,rapid facebook the free version of all colors and is characterized by fast and beauty download now url,rapid facebook the free version of all colors and is characterized by fast and beauty download now url,"['rapid', 'facebook', 'the', 'free', 'version', 'of', 'all', 'colors', 'and', 'is', 'characterized', 'by', 'fast', 'and', 'beauty', 'download', 'now', 'url']","['rapid', 'facebook', 'the', 'free', 'version', 'of', 'all', 'colors', 'and', 'is', 'characterized', 'by', 'fast', 'and', 'beauty', 'download', 'now', 'url']","['rapid', 'facebook', 'free', 'version', 'colors', 'characterized', 'fast', 'beauty', 'download', 'now', 'url']","['rapid', 'facebook', 'free', 'version', 'color', 'characterize', 'fast', 'beauty', 'download', 'now', 'url']"
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!ï»¿,1,hey katycats! we are releasing a movie at midnight uk time to celebrate  katy's 30th birthday! be sure to subscribe to our channel and watch the  movie!ï»¿,hey katycats we are releasing a movie at midnight uk time to celebrate katys birthday be sure to subscribe to our channel and watch the movie,hey katycats we are releasing a movie at midnight uk time to celebrate katys birthday be sure to subscribe to our channel and watch the movie,"['hey', 'katycats', 'we', 'are', 'releasing', 'a', 'movie', 'at', 'midnight', 'uk', 'time', 'to', 'celebrate', 'katys', 'birthday', 'be', 'sure', 'to', 'subscribe', 'to', 'our', 'channel', 'and', 'watch', 'the', 'movie']","['hey', 'katycats', 'we', 'are', 'releasing', 'a', 'movie', 'at', 'midnight', 'uk', 'time', 'to', 'celebrate', 'katys', 'birthday', 'be', 'sure', 'to', 'subscribe', 'to', 'our', 'channel', 'and', 'watch', 'the', 'movie']","['hey', 'katycats', 'releasing', 'movie', 'midnight', 'uk', 'celebrate', 'katys', 'birthday', 'sure', 'subscribe', 'channel', 'watch', 'movie']","['hey', 'katycats', 'release', 'movie', 'midnight', 'uk', 'celebrate', 'katys', 'birthday', 'sure', 'subscribe', 'channel', 'watch', 'movie']"
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.ï»¿",0,"i just realized that this verses in this song have the exact same melody as  the verses in ""hey ho"" by the lumineers.ï»¿",i just realized that this verses in this song have the exact same melody as the verses in hey ho by the lumineers,i just realized that this verses in this song have the exact same melody as the verses in hey ho by the lumineers,"['i', 'just', 'realized', 'that', 'this', 'verses', 'in', 'this', 'song', 'have', 'the', 'exact', 'same', 'melody', 'as', 'the', 'verses', 'in', 'hey', 'ho', 'by', 'the', 'lumineers']","['i', 'just', 'realized', 'that', 'this', 'verses', 'in', 'this', 'song', 'have', 'the', 'exact', 'same', 'melody', 'as', 'the', 'verses', 'in', 'hey', 'ho', 'by', 'the', 'lumineers']","['realized', 'verses', 'song', 'exact', 'melody', 'verses', 'hey', 'ho', 'lumineers']","['realize', 'verse', 'song', 'exact', 'melody', 'verse', 'hey', 'ho', 'lumineers']"
:-D âªâªâª This is my favorite song â¥ï»¿,0,:-d âªâªâª this is my favorite song â¥ï»¿,this is my favorite song,this is my favorite song,"['this', 'is', 'my', 'favorite', 'song']","['this', 'is', 'my', 'favorite', 'song']","['favorite', 'song']","['favorite', 'song']"
this song never get's old &lt;3 ï»¿,0,this song never get's old &lt;3 ï»¿,this song never gets old,this song never gets old,"['this', 'song', 'never', 'gets', 'old']","['this', 'song', 'never', 'gets', 'old']","['song', 'old']","['song', 'old']"
HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen  (ThatÂ´s not me)ï»¿,1,happy birthday katy :) http://giphy.com/gifs/birthday-flowers-happy-gw3jy2uqiaxkaqxs/fullscreen  (thatâ´s not me)ï»¿,happy birthday katy url that s not me,happy birthday katy url that s not me,"['happy', 'birthday', 'katy', 'url', 'that', 's', 'not', 'me']","['happy', 'birthday', 'katy', 'url', 'that', 's', 'not', 'me']","['happy', 'birthday', 'katy', 'url', 's']","['happy', 'birthday', 'katy', 'url', 's']"
"Hey ! I know most people don't like these kind of comments &amp; see at spam,  but I see as free advertising . So please check out my cover of Sparks Fly  by Taylor Swift ! It is not the best ever I know, but maybe with some  encouraging words of wisdom from many of you I can become better! Please go  to my channel and check it out !ï»¿",1,"hey ! i know most people don't like these kind of comments &amp; see at spam,  but i see as free advertising . so please check out my cover of sparks fly  by taylor swift ! it is not the best ever i know, but maybe with some  encouraging words of wisdom from many of you i can become better! please go  to my channel and check it out !ï»¿",hey i know most people dont like these kind of comments see at spam but i see as free advertising so please check out my cover of sparks fly by taylor swift it is not the best ever i know but maybe with some encouraging words of wisdom from many of you i can become better please go to my channel and check it out,hey i know most people dont like these kind of comments see at spam but i see as free advertising so please check out my cover of sparks fly by taylor swift it is not the best ever i know but maybe with some encouraging words of wisdom from many of you i can become better please go to my channel and check it out,"['hey', 'i', 'know', 'most', 'people', 'dont', 'like', 'these', 'kind', 'of', 'comments', 'see', 'at', 'spam', 'but', 'i', 'see', 'as', 'free', 'advertising', 'so', 'please', 'check', 'out', 'my', 'cover', 'of', 'sparks', 'fly', 'by', 'taylor', 'swift', 'it', 'is', 'not', 'the', 'best', 'ever', 'i', 'know', 'but', 'maybe', 'with', 'some', 'encouraging', 'words', 'of', 'wisdom', 'from', 'many', 'of', 'you', 'i', 'can', 'become', 'better', 'please', 'go', 'to', 'my', 'channel', 'and', 'check', 'it', 'out']","['hey', 'i', 'know', 'most', 'people', 'dont', 'like', 'these', 'kind', 'of', 'comments', 'see', 'at', 'spam', 'but', 'i', 'see', 'as', 'free', 'advertising', 'so', 'please', 'check', 'out', 'my', 'cover', 'of', 'sparks', 'fly', 'by', 'taylor', 'swift', 'it', 'is', 'not', 'the', 'best', 'ever', 'i', 'know', 'but', 'maybe', 'with', 'some', 'encouraging', 'words', 'of', 'wisdom', 'from', 'many', 'of', 'you', 'i', 'can', 'become', 'better', 'please', 'go', 'to', 'my', 'channel', 'and', 'check', 'it', 'out']","['hey', 'dont', 'like', 'kind', 'comments', 'spam', 'free', 'advertising', 'check', 'cover', 'sparks', 'fly', 'taylor', 'swift', 'best', 'maybe', 'encouraging', 'words', 'wisdom', 'become', 'better', 'channel', 'check']","['hey', 'dont', 'like', 'kind', 'comment', 'spam', 'free', 'advertising', 'check', 'cover', 'spark', 'fly', 'taylor', 'swift', 'best', 'maybe', 'encouraging', 'word', 'wisdom', 'become', 'good', 'channel', 'check']"
Www.youniqueproducts.com/joannagordon Younique by Joanna Gordon www.youniqueproducts.comï»¿,1,www.youniqueproducts.com/joannagordon younique by joanna gordon www.youniqueproducts.comï»¿,url younique by joanna gordon url,url younique by joanna gordon url,"['url', 'younique', 'by', 'joanna', 'gordon', 'url']","['url', 'younique', 'by', 'joanna', 'gordon', 'url']","['url', 'younique', 'joanna', 'gordon', 'url']","['url', 'younique', 'joanna', 'gordon', 'url']"
I like you . Katy Perry 600â²60â²6â²ï»¿,0,i like you . katy perry 600â²60â²6â²ï»¿,i like you katy perry 600 60 6,i like you katy perry,"['i', 'like', 'you', 'katy', 'perry']","['i', 'like', 'you', 'katy', 'perry']","['like', 'katy', 'perry']","['like', 'katy', 'perry']"
Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)ï»¿,0,glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)ï»¿,glad to know im not the only one who knows its katheryns birthday today happy birthday katyand my sister they seriously have the same birthday,glad to know im not the only one who knows its katheryns birthday today happy birthday katyand my sister they seriously have the same birthday,"['glad', 'to', 'know', 'im', 'not', 'the', 'only', 'one', 'who', 'knows', 'its', 'katheryns', 'birthday', 'today', 'happy', 'birthday', 'katyand', 'my', 'sister', 'they', 'seriously', 'have', 'the', 'same', 'birthday']","['glad', 'to', 'know', 'im', 'not', 'the', 'only', 'one', 'who', 'knows', 'its', 'katheryns', 'birthday', 'today', 'happy', 'birthday', 'katyand', 'my', 'sister', 'they', 'seriously', 'have', 'the', 'same', 'birthday']","['glad', 'who', 'katheryns', 'birthday', 'today', 'happy', 'birthday', 'katyand', 'sister', 'seriously', 'birthday']","['glad', 'who', 'katheryns', 'birthday', 'today', 'happy', 'birthday', 'katyand', 'sister', 'seriously', 'birthday']"
Katy Perry can't sing for shit. All i hear it autotune.ï»¿,0,katy perry can't sing for shit. all i hear it autotune.ï»¿,katy perry cant sing for shit all i hear it autotune,katy perry cant sing for shit all i hear it autotune,"['katy', 'perry', 'cant', 'sing', 'for', 'shit', 'all', 'i', 'hear', 'it', 'autotune']","['katy', 'perry', 'cant', 'sing', 'for', 'shit', 'all', 'i', 'hear', 'it', 'autotune']","['katy', 'perry', 'cant', 'sing', 'shit', 'hear', 'autotune']","['katy', 'perry', 'cant', 'sing', 'shit', 'hear', 'autotune']"
I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.ï»¿,0,i fucking hate her. why? because she don't write her songs she got  producers for that. second why tha fack is she in every song almost nude  mayby because she's an attention hooker.ï»¿,i fucking hate her why because she dont write her songs she got producers for that second why tha fack is she in every song almost nude mayby because shes an attention hooker,i fucking hate her why because she dont write her songs she got producers for that second why tha fack is she in every song almost nude mayby because shes an attention hooker,"['i', 'fucking', 'hate', 'her', 'why', 'because', 'she', 'dont', 'write', 'her', 'songs', 'she', 'got', 'producers', 'for', 'that', 'second', 'why', 'tha', 'fack', 'is', 'she', 'in', 'every', 'song', 'almost', 'nude', 'mayby', 'because', 'shes', 'an', 'attention', 'hooker']","['i', 'fucking', 'hate', 'her', 'why', 'because', 'she', 'dont', 'write', 'her', 'songs', 'she', 'got', 'producers', 'for', 'that', 'second', 'why', 'tha', 'fack', 'is', 'she', 'in', 'every', 'song', 'almost', 'nude', 'mayby', 'because', 'shes', 'an', 'attention', 'hooker']","['fucking', 'hate', 'dont', 'write', 'songs', 'producers', 'second', 'tha', 'fack', 'song', 'nude', 'mayby', 'shes', 'attention', 'hooker']","['fuck', 'hate', 'dont', 'write', 'song', 'producer', 'second', 'tha', 'fack', 'song', 'nude', 'mayby', 'shes', 'attention', 'hooker']"
Also LuckyMusiqLive she probably could help u make it big because I think u  have talent. Just look her name up on the internet. Hit me up when u get  this messageï»¿,1,also luckymusiqlive she probably could help u make it big because i think u  have talent. just look her name up on the internet. hit me up when u get  this messageï»¿,also luckymusiqlive she probably could help u make it big because i think u have talent just look her name up on the internet hit me up when u get this message,also luckymusiqlive she probably could help u make it big because i think u have talent just look her name up on the internet hit me up when u get this message,"['also', 'luckymusiqlive', 'she', 'probably', 'could', 'help', 'u', 'make', 'it', 'big', 'because', 'i', 'think', 'u', 'have', 'talent', 'just', 'look', 'her', 'name', 'up', 'on', 'the', 'internet', 'hit', 'me', 'up', 'when', 'u', 'get', 'this', 'message']","['also', 'luckymusiqlive', 'she', 'probably', 'could', 'help', 'you', 'make', 'it', 'big', 'because', 'i', 'think', 'you', 'have', 'talent', 'just', 'look', 'her', 'name', 'up', 'on', 'the', 'internet', 'hit', 'me', 'up', 'when', 'you', 'get', 'this', 'message']","['luckymusiqlive', 'probably', 'help', 'big', 'talent', 'look', 'name', 'internet', 'hit', 'message']","['luckymusiqlive', 'probably', 'help', 'big', 'talent', 'look', 'name', 'internet', 'hit', 'message']"
Check out my drum cover of E.T. here! thanks -&gt;   /watch?v=NO9pOVZ9OIQ&amp;list=UUltuCDIHsDeI01by1OW7WuQï»¿,1,check out my drum cover of e.t. here! thanks -&gt;   /watch?v=no9povz9oiq&amp;list=uultucdihsdei01by1ow7wuqï»¿,check out my drum cover of et here thanks url,check out my drum cover of et here thanks url,"['check', 'out', 'my', 'drum', 'cover', 'of', 'et', 'here', 'thanks', 'url']","['check', 'out', 'my', 'drum', 'cover', 'of', 'et', 'here', 'thanks', 'url']","['check', 'drum', 'cover', 'et', 'thanks', 'url']","['check', 'drum', 'cover', 'et', 'thanks', 'url']"
Put famous people in the jungle for an hour and look what happens.ï»¿,0,put famous people in the jungle for an hour and look what happens.ï»¿,put famous people in the jungle for an hour and look what happens,put famous people in the jungle for an hour and look what happens,"['put', 'famous', 'people', 'in', 'the', 'jungle', 'for', 'an', 'hour', 'and', 'look', 'what', 'happens']","['put', 'famous', 'people', 'in', 'the', 'jungle', 'for', 'an', 'hour', 'and', 'look', 'what', 'happens']","['famous', 'jungle', 'hour', 'look', 'happens']","['famous', 'jungle', 'hour', 'look', 'happen']"
"She kinda let herself go, huh?ï»¿",0,"she kinda let herself go, huh?ï»¿",she kinda let herself go huh,she kinda let herself go huh,"['she', 'kinda', 'let', 'herself', 'go', 'huh']","['she', 'kind of', 'let', 'herself', 'go', 'huh']","['kind of', 'let', 'huh']","['kind of', 'let', 'huh']"
we all love you Katy Perry &lt;3ï»¿,0,we all love you katy perry &lt;3ï»¿,we all love you katy perry,we all love you katy perry,"['we', 'all', 'love', 'you', 'katy', 'perry']","['we', 'all', 'love', 'you', 'katy', 'perry']","['love', 'katy', 'perry']","['love', 'katy', 'perry']"
Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010ï»¿,1,sign up for free on tsu and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/roberts9010ï»¿,sign up for free on tsu and start making money on social media addfollow me and ill add follow you url,sign up for free on tsu and start making money on social media addfollow me and ill add follow you url,"['sign', 'up', 'for', 'free', 'on', 'tsu', 'and', 'start', 'making', 'money', 'on', 'social', 'media', 'addfollow', 'me', 'and', 'ill', 'add', 'follow', 'you', 'url']","['sign', 'up', 'for', 'free', 'on', 'tsu', 'and', 'start', 'making', 'money', 'on', 'social', 'media', 'addfollow', 'me', 'and', 'ill', 'add', 'follow', 'you', 'url']","['sign', 'free', 'tsu', 'start', 'money', 'social', 'media', 'addfollow', 'ill', 'add', 'follow', 'url']","['sign', 'free', 'tsu', 'start', 'money', 'social', 'medium', 'addfollow', 'ill', 'add', 'follow', 'url']"
Love it when I can relate to my daughter's music. :-) Katy Perry - Roar  (Official): http://youtu.be/CevxZvSJLk8ï»¿,0,love it when i can relate to my daughter's music. :-) katy perry - roar  (official): http://youtu.be/cevxzvsjlk8ï»¿,love it when i can relate to my daughters music katy perry roar official http url,love it when i can relate to my daughters music katy perry roar official http url,"['love', 'it', 'when', 'i', 'can', 'relate', 'to', 'my', 'daughters', 'music', 'katy', 'perry', 'roar', 'official', 'http', 'url']","['love', 'it', 'when', 'i', 'can', 'relate', 'to', 'my', 'daughters', 'music', 'katy', 'perry', 'roar', 'official', 'http', 'url']","['love', 'relate', 'daughters', 'music', 'katy', 'perry', 'roar', 'official', 'http', 'url']","['love', 'relate', 'daughter', 'music', 'katy', 'perry', 'roar', 'official', 'http', 'url']"
Subscribe me and i subscribe you back!!ï»¿,1,subscribe me and i subscribe you back!!ï»¿,subscribe me and i subscribe you back,subscribe me and i subscribe you back,"['subscribe', 'me', 'and', 'i', 'subscribe', 'you', 'back']","['subscribe', 'me', 'and', 'i', 'subscribe', 'you', 'back']","['subscribe', 'subscribe']","['subscribe', 'subscribe']"
Katy Perry - Roar (Official)  #soundsofsunday   #music  ï»¿,0,katy perry - roar (official)  #soundsofsunday   #music  ï»¿,katy perry roar official soundsofsunday music,katy perry roar official soundsofsunday music,"['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']","['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']","['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']","['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']"
"When I hear Katy singing this, I cry. The song has got depth.ï»¿",0,"when i hear katy singing this, i cry. the song has got depth.ï»¿",when i hear katy singing this i cry the song has got depth,when i hear katy singing this i cry the song has got depth,"['when', 'i', 'hear', 'katy', 'singing', 'this', 'i', 'cry', 'the', 'song', 'has', 'got', 'depth']","['when', 'i', 'hear', 'katy', 'singing', 'this', 'i', 'cry', 'the', 'song', 'has', 'got', 'depth']","['hear', 'katy', 'singing', 'cry', 'song', 'depth']","['hear', 'katy', 'sing', 'cry', 'song', 'depth']"
Love itï»¿,0,love itï»¿,love it,love it,"['love', 'it']","['love', 'it']",['love'],['love']
People who believe in Illuminati are stupid the same people believe that  911 was made by the American governmentï»¿,0,people who believe in illuminati are stupid the same people believe that  911 was made by the american governmentï»¿,people who believe in illuminati are stupid the same people believe that was made by the american government,people who believe in illuminati are stupid the same people believe that was made by the american government,"['people', 'who', 'believe', 'in', 'illuminati', 'are', 'stupid', 'the', 'same', 'people', 'believe', 'that', 'was', 'made', 'by', 'the', 'american', 'government']","['people', 'who', 'believe', 'in', 'illuminati', 'are', 'stupid', 'the', 'same', 'people', 'believe', 'that', 'was', 'made', 'by', 'the', 'american', 'government']","['who', 'believe', 'illuminati', 'stupid', 'believe', 'american', 'government']","['who', 'believe', 'illuminati', 'stupid', 'believe', 'american', 'government']"
plz subscribe to my channel i need subs and if you do i will sub back i  need helpï»¿,1,plz subscribe to my channel i need subs and if you do i will sub back i  need helpï»¿,plz subscribe to my channel i need subs and if you do i will sub back i need help,plz subscribe to my channel i need subs and if you do i will sub back i need help,"['plz', 'subscribe', 'to', 'my', 'channel', 'i', 'need', 'subs', 'and', 'if', 'you', 'do', 'i', 'will', 'sub', 'back', 'i', 'need', 'help']","['please', 'subscribe', 'to', 'my', 'channel', 'i', 'need', 'subs', 'and', 'if', 'you', 'do', 'i', 'will', 'subcribe', 'back', 'i', 'need', 'help']","['subscribe', 'channel', 'need', 'subs', 'subcribe', 'need', 'help']","['subscribe', 'channel', 'need', 'sub', 'subcribe', 'need', 'help']"
please look up DHG SONGS this is my playlist with a bunch of amazing songs ï»¿,1,please look up dhg songs this is my playlist with a bunch of amazing songs ï»¿,please look up dhg songs this is my playlist with a bunch of amazing songs,please look up dhg songs this is my playlist with a bunch of amazing songs,"['please', 'look', 'up', 'dhg', 'songs', 'this', 'is', 'my', 'playlist', 'with', 'a', 'bunch', 'of', 'amazing', 'songs']","['please', 'look', 'up', 'dhg', 'songs', 'this', 'is', 'my', 'playlist', 'with', 'a', 'bunch', 'of', 'amazing', 'songs']","['look', 'dhg', 'songs', 'playlist', 'bunch', 'amazing', 'songs']","['look', 'dhg', 'song', 'playlist', 'bunch', 'amazing', 'song']"
Hey! I'm NERDY PEACH and I'm a new youtuber and it would mean THE ABSOLUTE  world to me if you could check 'em out! &lt;3  Hope you like them! =Dï»¿,1,hey! i'm nerdy peach and i'm a new youtuber and it would mean the absolute  world to me if you could check 'em out! &lt;3  hope you like them! =dï»¿,hey im nerdy peach and im a new youtuber and it would mean the absolute world to me if you could check em out hope you like them,hey im nerdy peach and im a new youtuber and it would mean the absolute world to me if you could check em out hope you like them,"['hey', 'im', 'nerdy', 'peach', 'and', 'im', 'a', 'new', 'youtuber', 'and', 'it', 'would', 'mean', 'the', 'absolute', 'world', 'to', 'me', 'if', 'you', 'could', 'check', 'em', 'out', 'hope', 'you', 'like', 'them']","['hey', 'im', 'nerdy', 'peach', 'and', 'im', 'a', 'new', 'youtuber', 'and', 'it', 'would', 'mean', 'the', 'absolute', 'world', 'to', 'me', 'if', 'you', 'could', 'check', 'em', 'out', 'hope', 'you', 'like', 'them']","['hey', 'nerdy', 'peach', 'new', 'youtuber', 'mean', 'absolute', 'world', 'check', 'em', 'hope', 'like']","['hey', 'nerdy', 'peach', 'new', 'youtuber', 'mean', 'absolute', 'world', 'check', 'em', 'hope', 'like']"
00 : 39 Im pretty sure that tiger just wanted a hugï»¿,0,00 : 39 im pretty sure that tiger just wanted a hugï»¿,im pretty sure that tiger just wanted a hug,im pretty sure that tiger just wanted a hug,"['im', 'pretty', 'sure', 'that', 'tiger', 'just', 'wanted', 'a', 'hug']","['im', 'pretty', 'sure', 'that', 'tiger', 'just', 'wanted', 'a', 'hug']","['pretty', 'sure', 'tiger', 'wanted', 'hug']","['pretty', 'sure', 'tiger', 'want', 'hug']"
http://vimeo.com/106865403ï»¿,1,http://vimeo.com/106865403ï»¿,url,url,['url'],['url'],['url'],['url']
this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...ï»¿,1,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. i'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...ï»¿,this song gives me strength love her lyrics this video really brings the lyrics to life im getting known fast because i rap with meaning thumbs up if you piss next to the water in the toilet so its quiet,this song gives me strength love her lyrics this video really brings the lyrics to life im getting known fast because i rap with meaning thumbs up if you piss next to the water in the toilet so its quiet,"['this', 'song', 'gives', 'me', 'strength', 'love', 'her', 'lyrics', 'this', 'video', 'really', 'brings', 'the', 'lyrics', 'to', 'life', 'im', 'getting', 'known', 'fast', 'because', 'i', 'rap', 'with', 'meaning', 'thumbs', 'up', 'if', 'you', 'piss', 'next', 'to', 'the', 'water', 'in', 'the', 'toilet', 'so', 'its', 'quiet']","['this', 'song', 'gives', 'me', 'strength', 'love', 'her', 'lyrics', 'this', 'video', 'really', 'brings', 'the', 'lyrics', 'to', 'life', 'im', 'getting', 'known', 'fast', 'because', 'i', 'rap', 'with', 'meaning', 'thumbs', 'up', 'if', 'you', 'piss', 'next', 'to', 'the', 'water', 'in', 'the', 'toilet', 'so', 'its', 'quiet']","['song', 'gives', 'strength', 'love', 'lyrics', 'video', 'really', 'brings', 'lyrics', 'life', 'fast', 'rap', 'meaning', 'thumbs', 'piss', 'water', 'toilet', 'quiet']","['song', 'give', 'strength', 'love', 'lyric', 'video', 'really', 'bring', 'lyric', 'life', 'fast', 'rap', 'mean', 'thumbs', 'piss', 'water', 'toilet', 'quiet']"
http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etcï»¿,1,http://minhateca.com.br/mauro-sp2013/filmes+series+desenhos+animes+mp3+etcï»¿,url,url,['url'],['url'],['url'],['url']
https://www.facebook.com/antrobofficialï»¿,1,https://www.facebook.com/antrobofficialï»¿,url,url,['url'],['url'],['url'],['url']
i love you katy perry because you will sing nice than shakiraï»¿,0,i love you katy perry because you will sing nice than shakiraï»¿,i love you katy perry because you will sing nice than shakira,i love you katy perry because you will sing nice than shakira,"['i', 'love', 'you', 'katy', 'perry', 'because', 'you', 'will', 'sing', 'nice', 'than', 'shakira']","['i', 'love', 'you', 'katy', 'perry', 'because', 'you', 'will', 'sing', 'nice', 'than', 'shakira']","['love', 'katy', 'perry', 'sing', 'nice', 'shakira']","['love', 'katy', 'perry', 'sing', 'nice', 'shakira']"
http://hackfbaccountlive.com/?ref=4344749ï»¿,1,http://hackfbaccountlive.com/?ref=4344749ï»¿,url,url,['url'],['url'],['url'],['url']
 Facebook account HACK!! http://hackfbaccountlive.com/?ref=4477063ï»¿,1, facebook account hack!! http://hackfbaccountlive.com/?ref=4477063ï»¿,facebook account hack url,facebook account hack url,"['facebook', 'account', 'hack', 'url']","['facebook', 'account', 'hack', 'url']","['facebook', 'account', 'hack', 'url']","['facebook', 'account', 'hack', 'url']"
I love katty perryï»¿,0,i love katty perryï»¿,i love katty perry,i love katty perry,"['i', 'love', 'katty', 'perry']","['i', 'love', 'katty', 'perry']","['love', 'katty', 'perry']","['love', 'katty', 'perry']"
The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous pleaseï»¿,1,the perry you're doing a good job good job i love all of their videos and  by the way can you please describe to my channel please please please  please i'm trying to get as many comments to skyburst lights is a cancer  and get famous pleaseï»¿,the perry youre doing a good job good job i love all of their videos and by the way can you please describe to my channel please please please please im trying to get as many comments to skyburst lights is a cancer and get famous please,the perry youre doing a good job good job i love all of their videos and by the way can you please describe to my channel please please please please im trying to get as many comments to skyburst lights is a cancer and get famous please,"['the', 'perry', 'youre', 'doing', 'a', 'good', 'job', 'good', 'job', 'i', 'love', 'all', 'of', 'their', 'videos', 'and', 'by', 'the', 'way', 'can', 'you', 'please', 'describe', 'to', 'my', 'channel', 'please', 'please', 'please', 'please', 'im', 'trying', 'to', 'get', 'as', 'many', 'comments', 'to', 'skyburst', 'lights', 'is', 'a', 'cancer', 'and', 'get', 'famous', 'please']","['the', 'perry', 'youre', 'doing', 'a', 'good', 'job', 'good', 'job', 'i', 'love', 'all', 'of', 'their', 'videos', 'and', 'by', 'the', 'way', 'can', 'you', 'please', 'describe', 'to', 'my', 'channel', 'please', 'please', 'please', 'please', 'im', 'trying', 'to', 'get', 'as', 'many', 'comments', 'to', 'skyburst', 'lights', 'is', 'a', 'cancer', 'and', 'get', 'famous', 'please']","['perry', 'youre', 'good', 'job', 'good', 'job', 'love', 'videos', 'describe', 'channel', 'trying', 'comments', 'skyburst', 'lights', 'cancer', 'famous']","['perry', 'youre', 'good', 'job', 'good', 'job', 'love', 'video', 'describe', 'channel', 'try', 'comment', 'skyburst', 'light', 'cancer', 'famous']"
