CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,normalized,content_stopwords,content_lemma
great song you go katy!﻿,0,great song you go katy!﻿,great song you go katy,"['great', 'song', 'you', 'go', 'katy']",great song you go katy,"['great', 'song', 'katy']","['great', 'song', 'katy']"
looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt﻿,0,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt﻿,loovvee itt,"['loovvee', 'itt']",loovvee itt,['loovvee'],['loovvee']
My telephone!﻿,0,my telephone!﻿,my telephone,"['my', 'telephone']",my telephone,['telephone'],['telephone']
This comment will randomly get lot's of likes and replies for no reason. I  also like Jello. Strawberry jello.﻿,0,this comment will randomly get lot's of likes and replies for no reason. i  also like jello. strawberry jello.﻿,this comment will randomly get lot s of likes and replies for no reason i also like jello strawberry jello,"['this', 'comment', 'will', 'randomly', 'get', 'lot', 's', 'of', 'likes', 'and', 'replies', 'for', 'no', 'reason', 'i', 'also', 'like', 'jello', 'strawberry', 'jello']",this comment will randomly get lot s of likes and replies for no reason i also like jello strawberry jello,"['comment', 'randomly', 'lot', 'likes', 'replies', 'reason', 'like', 'jello', 'strawberry', 'jello']","['comment', 'randomly', 'lot', 'like', 'reply', 'reason', 'like', 'jello', 'strawberry', 'jello']"
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1,"hey guys! i've made a amazing smiley t-shirt.of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. if you're a big fan of  t-shirts and want to gets more happiness, it's perfect for you.  check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",hey guys i ve made a amazing smiley t shirt of all the things you wear your expression is the most important and remember all the statistics in the world can t measure the warmth of a smile if you re a big fan of t shirts and want to gets more happiness it s perfect for you check this out and buy it at url thanks you guys so much,"['hey', 'guys', 'i', 've', 'made', 'a', 'amaze', 'smiley', 't', 'shirt', 'of', 'all', 'the', 'things', 'you', 'wear', 'your', 'expression', 'is', 'the', 'most', 'important', 'and', 'remember', 'all', 'the', 'statistics', 'in', 'the', 'world', 'can', 't', 'measure', 'the', 'warmth', 'of', 'a', 'smile', 'if', 'you', 're', 'a', 'big', 'fan', 'of', 't', 'shirts', 'and', 'want', 'to', 'gets', 'more', 'happiness', 'it', 's', 'perfect', 'for', 'you', 'check', 'this', 'out', 'and', 'buy', 'it', 'at', 'url', 'thank', 'you', 'guys', 'so', 'much']",hey guys i ve made a amaze smiley t shirt of all the things you wear your expression is the most important and remember all the statistics in the world can t measure the warmth of a smile if you re a big fan of t shirts and want to gets more happiness it s perfect for you check this out and buy it at url thank you guys so much,"['hey', 'amaze', 'smiley', 'shirt', 'wear', 'expression', 'important', 'remember', 'statistics', 'world', 'measure', 'warmth', 'smile', 'big', 'fan', 'shirts', 'want', 'happiness', 'perfect', 'check', 'buy', 'url', 'thank']","['hey', 'amaze', 'smiley', 'shirt', 'wear', 'expression', 'important', 'remember', 'statistic', 'world', 'measure', 'warmth', 'smile', 'big', 'fan', 'shirt', 'want', 'happiness', 'perfect', 'check', 'buy', 'url', 'thank']"
"really want this video to get 1 billion views, would be amazing!﻿",0,"really want this video to get 1 billion views, would be amazing!﻿",really want this video to get numeric billion views would be amazing,"['really', 'want', 'this', 'video', 'to', 'get', 'numeric', 'billion', 'views', 'would', 'be', 'amaze']",really want this video to get numeric billion views would be amaze,"['really', 'want', 'video', 'numeric', 'billion', 'views', 'amaze']","['really', 'want', 'video', 'numeric', 'billion', 'view', 'amaze']"
Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,1,katy has the voice of gold. this video really brings the lyrics to life. i  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,katy has the voice of gold this video really brings the lyrics to life i am a rapper with numeric subscribers thumbs up if you hate when you take a shit and the water splashes your nuts,"['katy', 'has', 'the', 'voice', 'of', 'gold', 'this', 'video', 'really', 'brings', 'the', 'lyrics', 'to', 'life', 'i', 'am', 'a', 'rapper', 'with', 'numeric', 'subscribe', 'thumb', 'up', 'if', 'you', 'hate', 'when', 'you', 'take', 'a', 'shit', 'and', 'the', 'water', 'splashes', 'your', 'nuts']",katy has the voice of gold this video really brings the lyrics to life i am a rapper with numeric subscribe thumb up if you hate when you take a shit and the water splashes your nuts,"['katy', 'voice', 'gold', 'video', 'really', 'brings', 'lyrics', 'life', 'rapper', 'numeric', 'subscribe', 'thumb', 'hate', 'shit', 'water', 'splashes', 'nuts']","['katy', 'voice', 'gold', 'video', 'really', 'bring', 'lyric', 'life', 'rapper', 'numeric', 'subscribe', 'thumb', 'hate', 'shit', 'water', 'splash', 'nut']"
"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿",0,"i started hating katy perry after finding out that she stole all of the  ideas on her videos  from an old comic book. yet, her music is catchy. ﻿",i started hating katy perry after finding out that she stole all of the ideas on her videos from an old comic book yet her music is catchy,"['i', 'started', 'hating', 'katy', 'perry', 'after', 'finding', 'out', 'that', 'she', 'stole', 'all', 'of', 'the', 'ideas', 'on', 'her', 'videos', 'from', 'an', 'old', 'comic', 'book', 'yet', 'her', 'music', 'is', 'catchy']",i started hating katy perry after finding out that she stole all of the ideas on her videos from an old comic book yet her music is catchy,"['started', 'hating', 'katy', 'perry', 'finding', 'stole', 'ideas', 'videos', 'old', 'comic', 'book', 'music', 'catchy']","['start', 'hat', 'katy', 'perry', 'find', 'stole', 'idea', 'videos', 'old', 'comic', 'book', 'music', 'catchy']"
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0,how can this song have 629 million views while there are only 7 million  people in the world?﻿,how can this song have numeric million views while there are only numeric million people in the world,"['how', 'can', 'this', 'song', 'have', 'numeric', 'million', 'views', 'while', 'there', 'are', 'only', 'numeric', 'million', 'people', 'in', 'the', 'world']",how can this song have numeric million views while there are only numeric million people in the world,"['song', 'numeric', 'million', 'views', 'numeric', 'million', 'world']","['song', 'numeric', 'million', 'view', 'numeric', 'million', 'world']"
Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0,katy perry is garbage. rihanna is the best singer in the world. ﻿,katy perry is garbage rihanna is the best singer in the world,"['katy', 'perry', 'is', 'garbage', 'rihanna', 'is', 'the', 'best', 'sing', 'in', 'the', 'world']",katy perry is garbage rihanna is the best sing in the world,"['katy', 'perry', 'garbage', 'rihanna', 'best', 'sing', 'world']","['katy', 'perry', 'garbage', 'rihanna', 'best', 'sing', 'world']"
https://www.reverbnation.com/slicknick313/songs﻿,1,https://www.reverbnation.com/slicknick313/songs﻿,url,['url'],url,['url'],['url']
"Katy Perry is part of me Katy Perry is my firework Katy Perry, I love you﻿",0,"katy perry is part of me katy perry is my firework katy perry, i love you﻿",katy perry is part of me katy perry is my firework katy perry i love you,"['katy', 'perry', 'is', 'part', 'of', 'me', 'katy', 'perry', 'is', 'my', 'firework', 'katy', 'perry', 'i', 'love', 'you']",katy perry is part of me katy perry is my firework katy perry i love you,"['katy', 'perry', 'katy', 'perry', 'firework', 'katy', 'perry', 'love']","['katy', 'perry', 'katy', 'perry', 'firework', 'katy', 'perry', 'love']"
This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,0,this song was good until it got overplayed the hell out of on radio﻿,this song was good until it got overplayed the hell out of on radio,"['this', 'song', 'was', 'good', 'until', 'it', 'got', 'overplayed', 'the', 'hell', 'out', 'of', 'on', 'radio']",this song was good until it got overplayed the hell out of on radio,"['song', 'good', 'overplayed', 'hell', 'radio']","['song', 'good', 'overplayed', 'hell', 'radio']"
"see it all, human folly right?﻿",0,"see it all, human folly right?﻿",see it all human folly right,"['see', 'it', 'all', 'human', 'folly', 'right']",see it all human folly right,"['human', 'folly', 'right']","['human', 'folly', 'right']"
Great.This is a song﻿,0,great.this is a song﻿,great this is a song,"['great', 'this', 'is', 'a', 'song']",great this is a song,"['great', 'song']","['great', 'song']"
Awesum song!! Jus luv it!﻿,0,awesum song!! jus luv it!﻿,awesum song jus luv it,"['awesum', 'song', 'jus', 'luv', 'it']",awesum song jus luv it,"['awesum', 'song', 'jus', 'luv']","['awesum', 'song', 'jus', 'luv']"
Watch my videos xx﻿,1,watch my videos xx﻿,watch my videos xx,"['watch', 'my', 'videos', 'xx']",watch my videos xx,"['watch', 'videos']","['watch', 'video']"
Please check out my acoustic cover channel :) thanks ﻿,1,please check out my acoustic cover channel :) thanks ﻿,please check out my acoustic cover channel thanks,"['please', 'check', 'out', 'my', 'acoustic', 'cover', 'channel', 'thank']",please check out my acoustic cover channel thank,"['check', 'acoustic', 'cover', 'channel', 'thank']","['check', 'acoustic', 'cover', 'channel', 'thank']"
Imagine this in the news crazy woman found acting like a tiger and bit jims  ear off﻿,0,imagine this in the news crazy woman found acting like a tiger and bit jims  ear off﻿,imagine this in the news crazy woman found acting like a tiger and bit jims ear off,"['imagine', 'this', 'in', 'the', 'news', 'crazy', 'woman', 'found', 'acting', 'like', 'a', 'tiger', 'and', 'bit', 'jims', 'ear', 'off']",imagine this in the news crazy woman found acting like a tiger and bit jims ear off,"['imagine', 'news', 'crazy', 'found', 'acting', 'like', 'tiger', 'bit', 'jims', 'ear']","['imagine', 'news', 'crazy', 'find', 'act', 'like', 'tiger', 'bit', 'jims', 'ear']"
selfie alert﻿,0,selfie alert﻿,selfie alert,"['selfie', 'alert']",selfie alert,"['selfie', 'alert']","['selfie', 'alert']"
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,your going to hear me roar !!!! :-))))   #soundsofsunday ﻿,your going to hear me roar soundsofsunday,"['your', 'going', 'to', 'hear', 'me', 'roar', 'sound']",your going to hear me roar sound,"['hear', 'roar', 'sound']","['hear', 'roar', 'sound']"
It is a shit﻿,0,it is a shit﻿,it is a shit,"['it', 'is', 'a', 'shit']",it is a shit,['shit'],['shit']
She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html﻿,1,she loves vena. trojmiasto.pl/vena-bus-taxi-o59253.html﻿,she loves vena trojmiasto pl vena bus taxi o59253 html,"['she', 'love', 'vena', 'trojmiasto', 'pl', 'vena', 'bus', 'taxi', 'o59253', 'html']",she love vena trojmiasto pl vena bus taxi o59253 html,"['love', 'vena', 'trojmiasto', 'pl', 'vena', 'bus', 'taxi', 'o59253', 'html']","['love', 'vena', 'trojmiasto', 'pl', 'vena', 'bus', 'taxi', 'o59253', 'html']"
"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿",1,"this is a competition to meet my idols, it would mean so much if you guys  will like this pic on ig! http://instagram.com/p/smzdivopxb/﻿",this is a competition to meet my idols it would mean so much if you guys will like this pic on ig url,"['this', 'is', 'a', 'competition', 'to', 'meet', 'my', 'idols', 'it', 'would', 'mean', 'so', 'much', 'if', 'you', 'guys', 'will', 'like', 'this', 'pic', 'on', 'instagram', 'url']",this is a competition to meet my idols it would mean so much if you guys will like this pic on instagram url,"['competition', 'meet', 'idols', 'mean', 'like', 'pic', 'instagram', 'url']","['competition', 'meet', 'idol', 'mean', 'like', 'pic', 'instagram', 'url']"
Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,1,katty perry please say in one of your new videoes that they follow the  girls girls please﻿,katty perry please say in one of your new videoes that they follow the girls girls please,"['katty', 'perry', 'please', 'say', 'in', 'one', 'of', 'your', 'new', 'videoes', 'that', 'they', 'follow', 'the', 'girl', 'girl', 'please']",katty perry please say in one of your new videoes that they follow the girl girl please,"['katty', 'perry', 'new', 'videoes', 'follow', 'girl', 'girl']","['katty', 'perry', 'new', 'videoes', 'follow', 'girl', 'girl']"
i am a big fan of you and i love you﻿,0,i am a big fan of you and i love you﻿,i am a big fan of you and i love you,"['i', 'am', 'a', 'big', 'fan', 'of', 'you', 'and', 'i', 'love', 'you']",i am a big fan of you and i love you,"['big', 'fan', 'love']","['big', 'fan', 'love']"
https://viralangels.com/user/d4aaacwk﻿,1,https://viralangels.com/user/d4aaacwk﻿,url,['url'],url,['url'],['url']
I &lt;3 Katy Perry!﻿,0,i &lt;3 katy perry!﻿,i numeric katy perry,"['i', 'numeric', 'katy', 'perry']",i numeric katy perry,"['numeric', 'katy', 'perry']","['numeric', 'katy', 'perry']"
"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",0,"since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",since she is a feminist champion why would she want to reinforce the stereotype of girls being girly by painting the nails of an elephant that probably wouldn t even appreciate it,"['since', 'she', 'is', 'a', 'feminist', 'champion', 'why', 'would', 'she', 'want', 'to', 'reinforce', 'the', 'stereotype', 'of', 'girl', 'being', 'girly', 'by', 'painting', 'the', 'nails', 'of', 'an', 'elephant', 'that', 'probably', 'wouldn', 't', 'even', 'appreciate', 'it']",since she is a feminist champion why would she want to reinforce the stereotype of girl being girly by painting the nails of an elephant that probably wouldn t even appreciate it,"['feminist', 'champion', 'want', 'reinforce', 'stereotype', 'girl', 'girly', 'painting', 'nails', 'elephant', 'probably', 'appreciate']","['feminist', 'champion', 'want', 'reinforce', 'stereotype', 'girl', 'girly', 'paint', 'nail', 'elephant', 'probably', 'appreciate']"
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1,http://thepiratebay.se/torrent/10626835/the.expendables.3.2014.dvdscr.xvid-dingo ﻿,url,['url'],url,['url'],['url']
http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,1,http://thepiratebay.se/torrent/10626048/the.expendables.3.2014.dvdscr.leaked.clean.xvid.mp3-rarbg ﻿,url,['url'],url,['url'],['url']
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,1,if interested in making extra money by internet use the next link www.swagbucks.com/refer/nonturtle02﻿,if interested in making extra money by internet use the next link url,"['if', 'interest', 'in', 'making', 'extra', 'money', 'by', 'internet', 'use', 'the', 'next', 'link', 'url']",if interest in making extra money by internet use the next link url,"['interest', 'extra', 'money', 'internet', 'use', 'link', 'url']","['interest', 'extra', 'money', 'internet', 'use', 'link', 'url']"
"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",0,"this is fucking shit. from the first notes, that becomes clear. complete  and utter shit. may god come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",this is fucking shit from the first notes that becomes clear complete and utter shit may god come and cleanse the earth of the complete and utter idiocy which is humankind,"['this', 'is', 'fuck', 'shit', 'from', 'the', 'first', 'notes', 'that', 'becomes', 'clear', 'complete', 'and', 'utter', 'shit', 'may', 'god', 'come', 'and', 'cleanse', 'the', 'earth', 'of', 'the', 'complete', 'and', 'utter', 'idiocy', 'which', 'is', 'humankind']",this is fuck shit from the first notes that becomes clear complete and utter shit may god come and cleanse the earth of the complete and utter idiocy which is humankind,"['fuck', 'shit', 'first', 'notes', 'becomes', 'clear', 'complete', 'utter', 'shit', 'god', 'cleanse', 'earth', 'complete', 'utter', 'idiocy', 'humankind']","['fuck', 'shit', 'first', 'note', 'becomes', 'clear', 'complete', 'utter', 'shit', 'god', 'cleanse', 'earth', 'complete', 'utter', 'idiocy', 'humankind']"
Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks﻿,1,hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! thanks﻿,hey guys plz check out my youtube channel to c funny numeric girls numeric cup reaction thanks and plz subscribe thanks,"['hey', 'guys', 'please', 'check', 'out', 'my', 'youtube', 'channel', 'to', 'c', 'funny', 'numeric', 'girl', 'numeric', 'cup', 'reaction', 'thank', 'and', 'please', 'subscribe', 'thank']",hey guys please check out my youtube channel to c funny numeric girl numeric cup reaction thank and please subscribe thank,"['hey', 'check', 'youtube', 'channel', 'funny', 'numeric', 'girl', 'numeric', 'cup', 'reaction', 'thank', 'subscribe', 'thank']","['hey', 'check', 'youtube', 'channel', 'funny', 'numeric', 'girl', 'numeric', 'cup', 'reaction', 'thank', 'subscribe', 'thank']"
Please subscribe every sub gets a shout out tell me what type of videos u  want and I will try make it happen﻿,1,please subscribe every sub gets a shout out tell me what type of videos u  want and i will try make it happen﻿,please subscribe every sub gets a shout out tell me what type of videos u want and i will try make it happen,"['please', 'subscribe', 'every', 'subscribe', 'gets', 'a', 'shout', 'out', 'tell', 'me', 'what', 'type', 'of', 'videos', 'you', 'want', 'and', 'i', 'will', 'try', 'make', 'it', 'happen']",please subscribe every subscribe gets a shout out tell me what type of videos you want and i will try make it happen,"['subscribe', 'subscribe', 'shout', 'type', 'videos', 'want', 'try', 'happen']","['subscribe', 'subscribe', 'shout', 'type', 'video', 'want', 'try', 'happen']"
Hey guys subscribe to my channel for no reason! Please!..﻿,1,hey guys subscribe to my channel for no reason! please!..﻿,hey guys subscribe to my channel for no reason please,"['hey', 'guys', 'subscribe', 'to', 'my', 'channel', 'for', 'no', 'reason', 'please']",hey guys subscribe to my channel for no reason please,"['hey', 'subscribe', 'channel', 'reason']","['hey', 'subscribe', 'channel', 'reason']"
Katycat! https://m.facebook.com/profile.php?id=1461302180794905﻿,1,katycat! https://m.facebook.com/profile.php?id=1461302180794905﻿,katycat url,"['katycat', 'url']",katycat url,"['katycat', 'url']","['katycat', 'url']"
At least she didn't get rid of her completely useless makeup.﻿,0,at least she didn't get rid of her completely useless makeup.﻿,at least she didn t get rid of her completely useless makeup,"['at', 'least', 'she', 'didn', 't', 'get', 'rid', 'of', 'her', 'complete', 'useless', 'makeup']",at least she didn t get rid of her complete useless makeup,"['didn', 'rid', 'complete', 'useless', 'makeup']","['didn', 'rid', 'complete', 'useless', 'makeup']"
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0,i love roar and katy perry. she is my favorite singer and sometimes i just  mute the volume and look at her!﻿,i love roar and katy perry she is my favorite singer and sometimes i just mute the volume and look at her,"['i', 'love', 'roar', 'and', 'katy', 'perry', 'she', 'is', 'my', 'favorite', 'sing', 'and', 'sometimes', 'i', 'just', 'mute', 'the', 'volume', 'and', 'look', 'at', 'her']",i love roar and katy perry she is my favorite sing and sometimes i just mute the volume and look at her,"['love', 'roar', 'katy', 'perry', 'favorite', 'sing', 'mute', 'volume', 'look']","['love', 'roar', 'katy', 'perry', 'favorite', 'sing', 'mute', 'volume', 'look']"
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,this is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,this is the best of the best video in world,"['this', 'is', 'the', 'best', 'of', 'the', 'best', 'video', 'in', 'world']",this is the best of the best video in world,"['best', 'best', 'video', 'world']","['best', 'best', 'video', 'world']"
"She's got it all. Incredible voice, extremely hot, nice tits﻿",0,"she's got it all. incredible voice, extremely hot, nice tits﻿",she s got it all incredible voice extremely hot nice tits,"['she', 's', 'got', 'it', 'all', 'incredible', 'voice', 'extremely', 'hot', 'nice', 'tits']",she s got it all incredible voice extremely hot nice tits,"['incredible', 'voice', 'extremely', 'hot', 'nice', 'tits']","['incredible', 'voice', 'extremely', 'hot', 'nice', 'tit']"
--&gt;ATTENTION KATYCATS! Katy leads with 7 noms at this year MTV EMA! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb﻿,1,--&gt;attention katycats! katy leads with 7 noms at this year mtv ema! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb﻿,attention katycats katy leads with numeric noms at this year mtv ema do vote daily for her tv url vote delete spaces thumbs up and share on fb,"['attention', 'katycats', 'katy', 'leads', 'with', 'numeric', 'noms', 'at', 'this', 'year', 'mtv', 'ema', 'do', 'vote', 'daily', 'for', 'her', 'tv', 'url', 'vote', 'delete', 'spaces', 'thumb', 'up', 'and', 'share', 'on', 'facebook']",attention katycats katy leads with numeric noms at this year mtv ema do vote daily for her tv url vote delete spaces thumb up and share on facebook,"['attention', 'katycats', 'katy', 'leads', 'numeric', 'noms', 'year', 'mtv', 'ema', 'vote', 'daily', 'tv', 'url', 'vote', 'delete', 'spaces', 'thumb', 'share', 'facebook']","['attention', 'katycats', 'katy', 'lead', 'numeric', 'noms', 'year', 'mtv', 'ema', 'vote', 'daily', 'tv', 'url', 'vote', 'delete', 'space', 'thumb', 'share', 'facebook']"
I really like this song.﻿,0,i really like this song.﻿,i really like this song,"['i', 'really', 'like', 'this', 'song']",i really like this song,"['really', 'like', 'song']","['really', 'like', 'song']"
my son love so much﻿,0,my son love so much﻿,my son love so much,"['my', 'son', 'love', 'so', 'much']",my son love so much,"['son', 'love']","['son', 'love']"
Y LOVE YOU﻿,0,y love you﻿,y love you,"['y', 'love', 'you']",y love you,"['y', 'love']","['y', 'love']"
follow me on instagram bigboss286﻿,1,follow me on instagram bigboss286﻿,follow me on instagram bigboss286,"['follow', 'me', 'on', 'instagram', 'bigboss286']",follow me on instagram bigboss286,"['follow', 'instagram', 'bigboss286']","['follow', 'instagram', 'bigboss286']"
why the elephant have a broken horn﻿,0,why the elephant have a broken horn﻿,why the elephant have a broken horn,"['why', 'the', 'elephant', 'have', 'a', 'broken', 'horn']",why the elephant have a broken horn,"['elephant', 'broken', 'horn']","['elephant', 'break', 'horn']"
Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,1,free itunes $25 giftcard codes: http://shhort.com/a?r=oocnjqu2b﻿,free itunes numeric giftcard codes url,"['free', 'itunes', 'numeric', 'giftcard', 'codes', 'url']",free itunes numeric giftcard codes url,"['free', 'itunes', 'numeric', 'giftcard', 'codes', 'url']","['free', 'itunes', 'numeric', 'giftcard', 'code', 'url']"
Where did she find all that make up in a freakin jungle?!﻿,0,where did she find all that make up in a freakin jungle?!﻿,where did she find all that make up in a freakin jungle,"['where', 'did', 'she', 'find', 'all', 'that', 'make', 'up', 'in', 'a', 'freakin', 'jungle']",where did she find all that make up in a freakin jungle,"['find', 'freakin', 'jungle']","['find', 'freakin', 'jungle']"
so cute that monkey *-*! ﻿,0,so cute that monkey *-*! ﻿,so cute that monkey,"['so', 'cute', 'that', 'monkey']",so cute that monkey,"['cute', 'monkey']","['cute', 'monkey']"
Nice song﻿,0,nice song﻿,nice song,"['nice', 'song']",nice song,"['nice', 'song']","['nice', 'song']"
subscribe please ﻿,1,subscribe please ﻿,subscribe please,"['subscribe', 'please']",subscribe please,['subscribe'],['subscribe']
"You are all sheep, period. This is terrible music.﻿",0,"you are all sheep, period. this is terrible music.﻿",you are all sheep period this is terrible music,"['you', 'are', 'all', 'sheep', 'period', 'this', 'is', 'terrible', 'music']",you are all sheep period this is terrible music,"['sheep', 'period', 'terrible', 'music']","['sheep', 'period', 'terrible', 'music']"
"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic £1. Thank you ;)﻿",1,"a  friend of mine has invented a big dick formula. he had a small dick (4  inches) and he did some research about this topic. during the research, he  found out the secret knowledge of penis enlargement. he applied what he  had learned and now he has a 7 inch dick. he was absolutely amazed by his  results. of course, it took a few months. therefore, he has written a book  about this issue in order to help guys. he asked me to promote his book :)  so, guys if you are interested and for more info check this out  https://payhip.com/b/otib  . he is selling it for symbolic £1. thank you ;)﻿",a friend of mine has invented a big dick formula he had a small dick numeric inches and he did some research about this topic during the research he found out the secret knowledge of penis enlargement he applied what he had learned and now he has a numeric inch dick he was absolutely amazed by his results of course it took a few months therefore he has written a book about this issue in order to help guys he asked me to promote his book so guys if you are interested and for more info check this out url he is selling it for symbolic numeric thank you,"['a', 'friend', 'of', 'mine', 'has', 'invented', 'a', 'big', 'dick', 'formula', 'he', 'had', 'a', 'small', 'dick', 'numeric', 'inches', 'and', 'he', 'did', 'some', 'research', 'about', 'this', 'topic', 'during', 'the', 'research', 'he', 'found', 'out', 'the', 'secret', 'knowledge', 'of', 'penis', 'enlargement', 'he', 'applied', 'what', 'he', 'had', 'learned', 'and', 'now', 'he', 'has', 'a', 'numeric', 'inch', 'dick', 'he', 'was', 'absolutely', 'amaze', 'by', 'his', 'results', 'of', 'course', 'it', 'took', 'a', 'few', 'months', 'therefore', 'he', 'has', 'written', 'a', 'book', 'about', 'this', 'issue', 'in', 'order', 'to', 'help', 'guys', 'he', 'asked', 'me', 'to', 'promote', 'his', 'book', 'so', 'guys', 'if', 'you', 'are', 'interest', 'and', 'for', 'more', 'info', 'check', 'this', 'out', 'url', 'he', 'is', 'selling', 'it', 'for', 'symbolic', 'numeric', 'thank', 'you']",a friend of mine has invented a big dick formula he had a small dick numeric inches and he did some research about this topic during the research he found out the secret knowledge of penis enlargement he applied what he had learned and now he has a numeric inch dick he was absolutely amaze by his results of course it took a few months therefore he has written a book about this issue in order to help guys he asked me to promote his book so guys if you are interest and for more info check this out url he is selling it for symbolic numeric thank you,"['friend', 'mine', 'invented', 'big', 'dick', 'formula', 'small', 'dick', 'numeric', 'inches', 'research', 'topic', 'research', 'found', 'secret', 'knowledge', 'penis', 'enlargement', 'applied', 'learned', 'now', 'numeric', 'inch', 'dick', 'absolutely', 'amaze', 'results', 'course', 'months', 'written', 'book', 'issue', 'order', 'help', 'asked', 'promote', 'book', 'interest', 'info', 'check', 'url', 'selling', 'symbolic', 'numeric', 'thank']","['friend', 'mine', 'invent', 'big', 'dick', 'formula', 'small', 'dick', 'numeric', 'inch', 'research', 'topic', 'research', 'find', 'secret', 'knowledge', 'penis', 'enlargement', 'apply', 'learn', 'now', 'numeric', 'inch', 'dick', 'absolutely', 'amaze', 'result', 'course', 'month', 'write', 'book', 'issue', 'order', 'help', 'ask', 'promote', 'book', 'interest', 'info', 'check', 'url', 'sell', 'symbolic', 'numeric', 'thank']"
In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,0,in the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,in the beginning she was scared off everything and next thing you know she is out in a leopard bikini,"['in', 'the', 'beginning', 'she', 'was', 'scare', 'off', 'everything', 'and', 'next', 'thing', 'you', 'know', 'she', 'is', 'out', 'in', 'a', 'leopard', 'bikini']",in the beginning she was scare off everything and next thing you know she is out in a leopard bikini,"['beginning', 'scare', 'leopard', 'bikini']","['begin', 'scare', 'leopard', 'bikini']"
Please look at my channel﻿,1,please look at my channel﻿,please look at my channel,"['please', 'look', 'at', 'my', 'channel']",please look at my channel,"['look', 'channel']","['look', 'channel']"
