CONTENT,CLASS,content_lower,normalized,content_rn,content_tokenized,content_filter,content_stopwords,content_stemm
I really like this song.﻿,0,i really like this song.﻿,i really like this song.﻿,i really like this song,"['i', 'really', 'like', 'this', 'song']","['i', 'really', 'like', 'this', 'song']","['i', 'really', 'like', 'song']","['i', 'realli', 'like', 'song']"
my son love so much﻿,0,my son love so much﻿,my son love so much﻿,my son love so much,"['my', 'son', 'love', 'so', 'much']","['my', 'son', 'love', 'so', 'much']","['my', 'son', 'love', 'so', 'much']","['my', 'son', 'love', 'so', 'much']"
Y LOVE YOU﻿,0,y love you﻿,y love you﻿,y love you,"['y', 'love', 'you']","['love', 'you']","['love', 'you']","['love', 'you']"
follow me on instagram bigboss286﻿,1,follow me on instagram bigboss286﻿,follow me on instagram bigboss286﻿,follow me on instagram bigboss286,"['follow', 'me', 'on', 'instagram', 'bigboss286']","['follow', 'me', 'on', 'instagram', 'bigboss286']","['follow', 'me', 'instagram', 'bigboss286']","['follow', 'me', 'instagram', 'bigboss286']"
why the elephant have a broken horn﻿,0,why the elephant have a broken horn﻿,why the elephant have a broken horn﻿,why the elephant have a broken horn,"['why', 'the', 'elephant', 'have', 'a', 'broken', 'horn']","['why', 'the', 'elephant', 'have', 'a', 'broken', 'horn']","['elephant', 'broken', 'horn']","['eleph', 'broken', 'horn']"
Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,1,free itunes $25 giftcard codes: http://shhort.com/a?r=oocnjqu2b﻿,free itunes $25 giftcard codes: http://shhort.com/a?are=oocnjqu2b﻿,free itunes numeric giftcard codes url,"['free', 'itunes', 'numeric', 'giftcard', 'codes', 'url']","['free', 'itunes', 'numeric', 'giftcard', 'codes', 'url']","['free', 'itunes', 'numeric', 'giftcard', 'codes', 'url']","['free', 'itun', 'numer', 'giftcard', 'code', 'url']"
Where did she find all that make up in a freakin jungle?!﻿,0,where did she find all that make up in a freakin jungle?!﻿,where did she find all that make up in a freakin jungle?!﻿,where did she find all that make up in a freakin jungle,"['where', 'did', 'she', 'find', 'all', 'that', 'make', 'up', 'in', 'a', 'freakin', 'jungle']","['where', 'did', 'she', 'find', 'all', 'that', 'make', 'up', 'in', 'a', 'freakin', 'jungle']","['find', 'all', 'make', 'freakin', 'jungle']","['find', 'all', 'make', 'freakin', 'jungl']"
so cute that monkey *-*! ﻿,0,so cute that monkey *-*! ﻿,so cute that monkey *-*! ﻿,so cute that monkey,"['so', 'cute', 'that', 'monkey']","['so', 'cute', 'that', 'monkey']","['so', 'cute', 'monkey']","['so', 'cute', 'monkey']"
Nice song﻿,0,nice song﻿,nice song﻿,nice song,"['nice', 'song']","['nice', 'song']","['nice', 'song']","['nice', 'song']"
subscribe please ﻿,1,subscribe please ﻿,subscribe please ﻿,subscribe please,"['subscribe', 'please']","['subscribe', 'please']","['subscribe', 'please']","['subscrib', 'pleas']"
"You are all sheep, period. This is terrible music.﻿",0,"you are all sheep, period. this is terrible music.﻿","you are all sheep, period. this is terrible music.﻿",you are all sheep period this is terrible music,"['you', 'are', 'all', 'sheep', 'period', 'this', 'is', 'terrible', 'music']","['you', 'are', 'all', 'sheep', 'period', 'this', 'is', 'terrible', 'music']","['you', 'all', 'sheep', 'period', 'terrible', 'music']","['you', 'all', 'sheep', 'period', 'terribl', 'music']"
"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic £1. Thank you ;)﻿",1,"a  friend of mine has invented a big dick formula. he had a small dick (4  inches) and he did some research about this topic. during the research, he  found out the secret knowledge of penis enlargement. he applied what he  had learned and now he has a 7 inch dick. he was absolutely amazed by his  results. of course, it took a few months. therefore, he has written a book  about this issue in order to help guys. he asked me to promote his book :)  so, guys if you are interested and for more info check this out  https://payhip.com/b/otib  . he is selling it for symbolic £1. thank you ;)﻿","a  friend of mine has invented a big dick formula. he had a small dick (4  inches) and he did some research about this topic. during the research, he  found out the secret knowledge of penis enlargement. he applied what he  had learned and now he has a 7 inch dick. he was absolutely amaze by his  results. of course, it took a few months. therefore, he has written a book  about this issue in order to help guys. he asked me to promote his book :)  so, guys if you are interest and for more info check this out  https://payhip.com/b/otib  . he is selling it for symbolic £1. thank you ;)﻿",a friend of mine has invented a big dick formula he had a small dick numeric inches and he did some research about this topic during the research he found out the secret knowledge of penis enlargement he applied what he had learned and now he has a numeric inch dick he was absolutely amaze by his results of course it took a few months therefore he has written a book about this issue in order to help guys he asked me to promote his book so guys if you are interest and for more info check this out url he is selling it for symbolic numeric thank you,"['a', 'friend', 'of', 'mine', 'has', 'invented', 'a', 'big', 'dick', 'formula', 'he', 'had', 'a', 'small', 'dick', 'numeric', 'inches', 'and', 'he', 'did', 'some', 'research', 'about', 'this', 'topic', 'during', 'the', 'research', 'he', 'found', 'out', 'the', 'secret', 'knowledge', 'of', 'penis', 'enlargement', 'he', 'applied', 'what', 'he', 'had', 'learned', 'and', 'now', 'he', 'has', 'a', 'numeric', 'inch', 'dick', 'he', 'was', 'absolutely', 'amaze', 'by', 'his', 'results', 'of', 'course', 'it', 'took', 'a', 'few', 'months', 'therefore', 'he', 'has', 'written', 'a', 'book', 'about', 'this', 'issue', 'in', 'order', 'to', 'help', 'guys', 'he', 'asked', 'me', 'to', 'promote', 'his', 'book', 'so', 'guys', 'if', 'you', 'are', 'interest', 'and', 'for', 'more', 'info', 'check', 'this', 'out', 'url', 'he', 'is', 'selling', 'it', 'for', 'symbolic', 'numeric', 'thank', 'you']","['a', 'friend', 'of', 'mine', 'has', 'invented', 'a', 'big', 'dick', 'formula', 'he', 'had', 'a', 'small', 'dick', 'numeric', 'inches', 'and', 'he', 'did', 'some', 'research', 'about', 'this', 'topic', 'during', 'the', 'research', 'he', 'found', 'out', 'the', 'secret', 'knowledge', 'of', 'penis', 'enlargement', 'he', 'applied', 'what', 'he', 'had', 'learned', 'and', 'now', 'he', 'has', 'a', 'numeric', 'inch', 'dick', 'he', 'was', 'absolutely', 'amaze', 'by', 'his', 'results', 'of', 'course', 'it', 'took', 'a', 'few', 'months', 'therefore', 'he', 'has', 'written', 'a', 'book', 'about', 'this', 'issue', 'in', 'order', 'to', 'help', 'guys', 'he', 'asked', 'me', 'to', 'promote', 'his', 'book', 'so', 'guys', 'if', 'you', 'are', 'interest', 'and', 'for', 'more', 'info', 'check', 'this', 'out', 'url', 'he', 'is', 'selling', 'it', 'for', 'symbolic', 'numeric', 'thank', 'you']","['friend', 'mine', 'invented', 'big', 'dick', 'formula', 'small', 'dick', 'numeric', 'inches', 'some', 'research', 'topic', 'research', 'found', 'secret', 'knowledge', 'penis', 'enlargement', 'applied', 'learned', 'now', 'numeric', 'inch', 'dick', 'absolutely', 'amaze', 'results', 'course', 'took', 'few', 'months', 'therefore', 'written', 'book', 'issue', 'order', 'help', 'guys', 'asked', 'me', 'promote', 'book', 'so', 'guys', 'you', 'interest', 'more', 'info', 'check', 'url', 'selling', 'symbolic', 'numeric', 'thank', 'you']","['friend', 'mine', 'invent', 'big', 'dick', 'formula', 'small', 'dick', 'numer', 'inch', 'some', 'research', 'topic', 'research', 'found', 'secret', 'knowledg', 'peni', 'enlarg', 'appli', 'learn', 'now', 'numer', 'inch', 'dick', 'absolut', 'amaz', 'result', 'cours', 'took', 'few', 'month', 'therefor', 'written', 'book', 'issu', 'order', 'help', 'guy', 'ask', 'me', 'promot', 'book', 'so', 'guy', 'you', 'interest', 'more', 'info', 'check', 'url', 'sell', 'symbol', 'numer', 'thank', 'you']"
In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,0,in the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,in the beginning she was scare off everything and next thing you know she  is out in a leopard bikini!﻿,in the beginning she was scare off everything and next thing you know she is out in a leopard bikini,"['in', 'the', 'beginning', 'she', 'was', 'scare', 'off', 'everything', 'and', 'next', 'thing', 'you', 'know', 'she', 'is', 'out', 'in', 'a', 'leopard', 'bikini']","['in', 'the', 'beginning', 'she', 'was', 'scare', 'off', 'everything', 'and', 'next', 'thing', 'you', 'know', 'she', 'is', 'out', 'in', 'a', 'leopard', 'bikini']","['beginning', 'scare', 'everything', 'next', 'thing', 'you', 'know', 'leopard', 'bikini']","['begin', 'scare', 'everyth', 'next', 'thing', 'you', 'know', 'leopard', 'bikini']"
Please look at my channel﻿,1,please look at my channel﻿,please look at my channel﻿,please look at my channel,"['please', 'look', 'at', 'my', 'channel']","['please', 'look', 'at', 'my', 'channel']","['please', 'look', 'my', 'channel']","['pleas', 'look', 'my', 'channel']"
My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,1,my three bigger secrets are: i don't think i'm good enough for me skinny  size. i'm bisexual and i sweat really freaking bad when i'm nervous. -  check out secret by austin mahone's new single!﻿,my three bigger secrets are: i don't think i'm good enough for me skinny  size. i'm bisexual and i sweat really freaking bad when i'm nervous. -  check out secret by austin mahone's new single!﻿,my three bigger secrets are i don t think i m good enough for me skinny size i m bisexual and i sweat really freaking bad when i m nervous check out secret by austin mahone s new single,"['my', 'three', 'bigger', 'secrets', 'are', 'i', 'don', 't', 'think', 'i', 'm', 'good', 'enough', 'for', 'me', 'skinny', 'size', 'i', 'm', 'bisexual', 'and', 'i', 'sweat', 'really', 'freaking', 'bad', 'when', 'i', 'm', 'nervous', 'check', 'out', 'secret', 'by', 'austin', 'mahone', 's', 'new', 'single']","['my', 'three', 'bigger', 'secrets', 'are', 'i', 'don', 'think', 'i', 'good', 'enough', 'for', 'me', 'skinny', 'size', 'i', 'bisexual', 'and', 'i', 'sweat', 'really', 'freaking', 'bad', 'when', 'i', 'nervous', 'check', 'out', 'secret', 'by', 'austin', 'mahone', 'new', 'single']","['my', 'three', 'bigger', 'secrets', 'i', 'think', 'i', 'good', 'enough', 'me', 'skinny', 'size', 'i', 'bisexual', 'i', 'sweat', 'really', 'freaking', 'bad', 'i', 'nervous', 'check', 'secret', 'austin', 'mahone', 'new', 'single']","['my', 'three', 'bigger', 'secret', 'i', 'think', 'i', 'good', 'enough', 'me', 'skinni', 'size', 'i', 'bisexu', 'i', 'sweat', 'realli', 'freak', 'bad', 'i', 'nervous', 'check', 'secret', 'austin', 'mahon', 'new', 'singl']"
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,https://www.facebook.com/pages/nailey-nicool/629410220489046?ref=hl like  mee﻿,https://www.facebook.com/pages/nailey-nicool/629410220489046?ref=hl like  mee﻿,url like mee,"['url', 'like', 'mee']","['url', 'like', 'mee']","['url', 'like', 'mee']","['url', 'like', 'mee']"
katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,1,katy is beautiful. and this song is catchy. i'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,katy is beauty. and this song is catchy. i'm a rapper with 25000  subscribe.. thumb up if you hate when you take a shit and the water  splashes your balls﻿,katy is beauty and this song is catchy i m a rapper with numeric subscribe thumb up if you hate when you take a shit and the water splashes your balls,"['katy', 'is', 'beauty', 'and', 'this', 'song', 'is', 'catchy', 'i', 'm', 'a', 'rapper', 'with', 'numeric', 'subscribe', 'thumb', 'up', 'if', 'you', 'hate', 'when', 'you', 'take', 'a', 'shit', 'and', 'the', 'water', 'splashes', 'your', 'balls']","['katy', 'is', 'beauty', 'and', 'this', 'song', 'is', 'catchy', 'i', 'a', 'rapper', 'with', 'numeric', 'subscribe', 'thumb', 'up', 'if', 'you', 'hate', 'when', 'you', 'take', 'a', 'shit', 'and', 'the', 'water', 'splashes', 'your', 'balls']","['katy', 'beauty', 'song', 'catchy', 'i', 'rapper', 'numeric', 'subscribe', 'thumb', 'you', 'hate', 'you', 'take', 'shit', 'water', 'splashes', 'your', 'balls']","['kati', 'beauti', 'song', 'catchi', 'i', 'rapper', 'numer', 'subscrib', 'thumb', 'you', 'hate', 'you', 'take', 'shit', 'water', 'splash', 'your', 'ball']"
I love her green eyes﻿,0,i love her green eyes﻿,i love her green eyes﻿,i love her green eyes,"['i', 'love', 'her', 'green', 'eyes']","['i', 'love', 'her', 'green', 'eyes']","['i', 'love', 'green', 'eyes']","['i', 'love', 'green', 'eye']"
How old is Katy perry?﻿,0,how old is katy perry?﻿,how old is katy perry?﻿,how old is katy perry,"['how', 'old', 'is', 'katy', 'perry']","['how', 'old', 'is', 'katy', 'perry']","['old', 'katy', 'perry']","['old', 'kati', 'perri']"
most popular video on youtube  ﻿,0,most popular video on youtube  ﻿,most popular video on youtube  ﻿,most popular video on youtube,"['most', 'popular', 'video', 'on', 'youtube']","['most', 'popular', 'video', 'on', 'youtube']","['most', 'popular', 'video', 'youtube']","['most', 'popular', 'video', 'youtub']"
NOKIA spotted﻿,0,nokia spotted﻿,nokia spotted﻿,nokia spotted,"['nokia', 'spotted']","['nokia', 'spotted']","['nokia', 'spotted']","['nokia', 'spot']"
"I hear this all the time on radio and its really irritating. That being  said, i like the video﻿",0,"i hear this all the time on radio and its really irritating. that being  said, i like the video﻿","i hear this all the time on radio and its really irritating. that being  said, i like the video﻿",i hear this all the time on radio and its really irritating that being said i like the video,"['i', 'hear', 'this', 'all', 'the', 'time', 'on', 'radio', 'and', 'its', 'really', 'irritating', 'that', 'being', 'said', 'i', 'like', 'the', 'video']","['i', 'hear', 'this', 'all', 'the', 'time', 'on', 'radio', 'and', 'its', 'really', 'irritating', 'that', 'being', 'said', 'i', 'like', 'the', 'video']","['i', 'hear', 'all', 'time', 'radio', 'really', 'irritating', 'said', 'i', 'like', 'video']","['i', 'hear', 'all', 'time', 'radio', 'realli', 'irrit', 'said', 'i', 'like', 'video']"
Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!﻿,1,hi everyone! my dream is to have passionate sex with katy perry. some people do not believe in me…but maybe you will. sex is a giant part of my life and it pushes me to be a better person! please give me a chance by giving me a thumbs up! if you love my ambition please subscribe!﻿,hi everyone! my dream is to have passionate sex with katy perry. some people do not believe in me…but maybe you will. sex is a giant part of my life and it pushes me to be a better person! please give me a chance by giving me a thumb up! if you love my ambition please subscribe!﻿,hi everyone my dream is to have passionate sex with katy perry some people do not believe in me but maybe you will sex is a giant part of my life and it pushes me to be a better person please give me a chance by giving me a thumb up if you love my ambition please subscribe,"['hi', 'everyone', 'my', 'dream', 'is', 'to', 'have', 'passionate', 'sex', 'with', 'katy', 'perry', 'some', 'people', 'do', 'not', 'believe', 'in', 'me', 'but', 'maybe', 'you', 'will', 'sex', 'is', 'a', 'giant', 'part', 'of', 'my', 'life', 'and', 'it', 'pushes', 'me', 'to', 'be', 'a', 'better', 'person', 'please', 'give', 'me', 'a', 'chance', 'by', 'giving', 'me', 'a', 'thumb', 'up', 'if', 'you', 'love', 'my', 'ambition', 'please', 'subscribe']","['hi', 'everyone', 'my', 'dream', 'is', 'to', 'have', 'passionate', 'sex', 'with', 'katy', 'perry', 'some', 'people', 'do', 'not', 'believe', 'in', 'me', 'but', 'maybe', 'you', 'will', 'sex', 'is', 'a', 'giant', 'part', 'of', 'my', 'life', 'and', 'it', 'pushes', 'me', 'to', 'be', 'a', 'better', 'person', 'please', 'give', 'me', 'a', 'chance', 'by', 'giving', 'me', 'a', 'thumb', 'up', 'if', 'you', 'love', 'my', 'ambition', 'please', 'subscribe']","['hi', 'everyone', 'my', 'dream', 'passionate', 'sex', 'katy', 'perry', 'some', 'people', 'not', 'believe', 'me', 'maybe', 'you', 'will', 'sex', 'giant', 'part', 'my', 'life', 'pushes', 'me', 'better', 'person', 'please', 'give', 'me', 'chance', 'giving', 'me', 'thumb', 'you', 'love', 'my', 'ambition', 'please', 'subscribe']","['hi', 'everyon', 'my', 'dream', 'passion', 'sex', 'kati', 'perri', 'some', 'peopl', 'not', 'believ', 'me', 'mayb', 'you', 'will', 'sex', 'giant', 'part', 'my', 'life', 'push', 'me', 'better', 'person', 'pleas', 'give', 'me', 'chanc', 'give', 'me', 'thumb', 'you', 'love', 'my', 'ambit', 'pleas', 'subscrib']"
Fantastic!!!﻿,0,fantastic!!!﻿,fantastic!!!﻿,fantastic,['fantastic'],['fantastic'],['fantastic'],['fantast']
j aiiima plzzz  https://www.facebook.com/pages/%C3%89c%C3%B8l%CE%B5-al-ma%CE%B7b%CE%B5t/302703146601369 ﻿,1,j aiiima plzzz  https://www.facebook.com/pages/%c3%89c%c3%b8l%ce%b5-al-ma%ce%b7b%ce%b5t/302703146601369 ﻿,j aiiima plzzz  https://www.facebook.com/pages/%c3%89c%c3%b8l%ce%b5-al-ma%ce%b7b%ce%b5t/302703146601369 ﻿,j aiiima plzzz url,"['j', 'aiiima', 'plzzz', 'url']","['aiiima', 'plzzz', 'url']","['aiiima', 'plzzz', 'url']","['aiiima', 'plzzz', 'url']"
https://vimeo.com/107297364﻿,1,https://vimeo.com/107297364﻿,https://vimeo.com/107297364﻿,url,['url'],['url'],['url'],['url']
She's awesome XD﻿,0,she's awesome xd﻿,she's awesome xd﻿,she s awesome xd,"['she', 's', 'awesome', 'xd']","['she', 'awesome']",['awesome'],['awesom']
Katy perry songs aren't that bad ﻿,0,katy perry songs aren't that bad ﻿,katy perry song aren't that bad ﻿,katy perry song aren t that bad,"['katy', 'perry', 'song', 'aren', 't', 'that', 'bad']","['katy', 'perry', 'song', 'aren', 'that', 'bad']","['katy', 'perry', 'song', 'bad']","['kati', 'perri', 'song', 'bad']"
hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,1,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,hi beaties i made a new channel please go check it out and subscribe and enjoy,"['hi', 'beaties', 'i', 'made', 'a', 'new', 'channel', 'please', 'go', 'check', 'it', 'out', 'and', 'subscribe', 'and', 'enjoy']","['hi', 'beaties', 'i', 'made', 'a', 'new', 'channel', 'please', 'go', 'check', 'it', 'out', 'and', 'subscribe', 'and', 'enjoy']","['hi', 'beaties', 'i', 'made', 'new', 'channel', 'please', 'go', 'check', 'subscribe', 'enjoy']","['hi', 'beati', 'i', 'made', 'new', 'channel', 'pleas', 'go', 'check', 'subscrib', 'enjoy']"
https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo﻿,1,https://www.facebook.com/pages/hiphop-express/704682339621282                 like this page yo﻿,https://www.facebook.com/pages/hiphop-express/704682339621282                 like this page yo﻿,url like this page yo,"['url', 'like', 'this', 'page', 'yo']","['url', 'like', 'this', 'page']","['url', 'like', 'page']","['url', 'like', 'page']"
Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,1,our beautiful bella has been diagnosed with wobbler's syndrome. there is no  way we could afford to do her mri or surgery. she is not just a dog she is  a very special member of our family. without the surgery we fear we will  lose her. please help!  http://www.gofundme.com/f7ekgw﻿,our beauty bella has been diagnosed with wobbler's syndrome. there is no  way we could afford to do her mri or surgery. she is not just a dog she is  a very special member of our family. without the surgery we fear we will  lose her. please help!  http://www.gofundme.com/f7ekgw﻿,our beauty bella has been diagnosed with wobbler s syndrome there is no way we could afford to do her mri or surgery she is not just a dog she is a very special member of our family without the surgery we fear we will lose her please help url,"['our', 'beauty', 'bella', 'has', 'been', 'diagnosed', 'with', 'wobbler', 's', 'syndrome', 'there', 'is', 'no', 'way', 'we', 'could', 'afford', 'to', 'do', 'her', 'mri', 'or', 'surgery', 'she', 'is', 'not', 'just', 'a', 'dog', 'she', 'is', 'a', 'very', 'special', 'member', 'of', 'our', 'family', 'without', 'the', 'surgery', 'we', 'fear', 'we', 'will', 'lose', 'her', 'please', 'help', 'url']","['our', 'beauty', 'bella', 'has', 'been', 'diagnosed', 'with', 'wobbler', 'syndrome', 'there', 'is', 'no', 'way', 'we', 'could', 'afford', 'to', 'do', 'her', 'mri', 'or', 'surgery', 'she', 'is', 'not', 'just', 'a', 'dog', 'she', 'is', 'a', 'very', 'special', 'member', 'of', 'our', 'family', 'without', 'the', 'surgery', 'we', 'fear', 'we', 'will', 'lose', 'her', 'please', 'help', 'url']","['beauty', 'bella', 'diagnosed', 'wobbler', 'syndrome', 'no', 'way', 'could', 'afford', 'mri', 'surgery', 'not', 'just', 'dog', 'very', 'special', 'member', 'family', 'without', 'surgery', 'fear', 'will', 'lose', 'please', 'help', 'url']","['beauti', 'bella', 'diagnos', 'wobbler', 'syndrom', 'no', 'way', 'could', 'afford', 'mri', 'surgeri', 'not', 'just', 'dog', 'veri', 'special', 'member', 'famili', 'without', 'surgeri', 'fear', 'will', 'lose', 'pleas', 'help', 'url']"
https://www.facebook.com/pages/Komedi-burda-gel/775510675841486﻿,1,https://www.facebook.com/pages/komedi-burda-gel/775510675841486﻿,https://www.facebook.com/pages/komedi-burda-gel/775510675841486﻿,url,['url'],['url'],['url'],['url']
https://www.facebook.com/profile.php?id=100007085325116﻿,1,https://www.facebook.com/profile.php?id=100007085325116﻿,https://www.facebook.com/profile.php?id=100007085325116﻿,url,['url'],['url'],['url'],['url']
That's Good :)﻿,0,that's good :)﻿,that's good :)﻿,that s good,"['that', 's', 'good']","['that', 'good']",['good'],['good']
